#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.760472   -0.760472           0
           2   -0.766432   -0.763452  0.00210718
           3    -0.76084   -0.762581  0.00157442
           4   -0.757304   -0.761262  0.00164311
           5   -0.759752    -0.76096  0.00134195
           6   -0.762248   -0.761175  0.00113533
           7   -0.763552   -0.761514  0.00102268
           8    -0.76392   -0.761815 0.000938014
           9   -0.763792   -0.762035 0.000859127
          10    -0.76044   -0.761875 0.000787875
          11   -0.763048   -0.761982 0.000723428
          12   -0.758712   -0.761709 0.000712614
          13   -0.763784   -0.761869 0.000675431
          14   -0.763432   -0.761981 0.000636347
          15    -0.75824   -0.761731 0.000640925
          16   -0.760584    -0.76166 0.000604865
          17   -0.760056   -0.761565 0.000576592
          18    -0.75928   -0.761438 0.000558361
          19   -0.763096   -0.761525 0.000535747
          20   -0.758384   -0.761368 0.000531487
          21   -0.762144   -0.761405  0.00050746
          22    -0.76256   -0.761458   0.0004871
          23      -0.765   -0.761612 0.000489663
          24   -0.764992   -0.761753 0.000489096
          25   -0.763288   -0.761814 0.000473373
          26   -0.760824   -0.761776 0.000456695
          27   -0.764056    -0.76186 0.000447519
          28   -0.763776   -0.761929 0.000436734
          29   -0.759656    -0.76185 0.000428649
          30   -0.760472   -0.761805 0.000416816
