#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.89286     7.89286           0
           2     7.25728     7.57507    0.224713
           3     7.13181     7.42732    0.192346
           4     6.92642     7.30209    0.180477
           5     8.02653     7.44698     0.19401
           6     7.39988     7.43913    0.161834
           7      6.9154     7.36431    0.155048
           8     6.98245     7.31658    0.142825
           9     7.38523     7.32421     0.12716
          10     7.30722     7.32251    0.114455
          11     7.83278      7.3689     0.11306
          12      7.2777      7.3613    0.103894
          13      7.1419     7.34442   0.0972629
          14     7.24678     7.33744   0.0905653
          15     7.49046     7.34765   0.0851002
          16      7.8006     7.37596   0.0843589
          17     6.94844     7.35081   0.0830605
          18         7.9     7.38132   0.0838627
          19     7.58212     7.39189   0.0801121
          20     6.02774     7.32368    0.101053
          21     7.30443     7.32276   0.0962455
          22     7.49152     7.33043   0.0921759
          23     7.45346     7.33578   0.0883233
          24     7.87794     7.35837   0.0874843
          25     6.64174     7.32971   0.0885567
          26     6.90415     7.31334     0.08665
          27     7.87347     7.33409   0.0858883
          28     7.96578     7.35665   0.0857327
          29     7.12278     7.34858   0.0831548
          30     6.94046     7.33498   0.0814881
