#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.432021    0.432021           0
           2    0.413419     0.42272  0.00657659
           3    0.416381    0.420607  0.00471167
           4    0.421173    0.420748  0.00353587
           5    0.431645    0.422928  0.00343526
           6    0.410851    0.420915  0.00340163
           7    0.427017    0.421787  0.00302532
           8    0.396544    0.418631  0.00396476
           9    0.414513    0.418174  0.00355054
          10     0.40783    0.417139  0.00334275
          11    0.430607    0.418364  0.00325538
          12    0.422093    0.418675   0.0029989
          13    0.411924    0.418155  0.00281281
          14    0.408083    0.417436  0.00270234
          15    0.422885    0.417799  0.00254648
          16    0.414863    0.417616  0.00239393
          17    0.413152    0.417353  0.00226746
          18    0.431654    0.418148  0.00227644
          19    0.406657    0.417543  0.00223552
          20    0.425021    0.417917  0.00215479
          21     0.41609     0.41783  0.00205393
          22    0.400504    0.417042  0.00210614
          23    0.403838    0.416468  0.00209135
          24    0.425634     0.41685  0.00203879
          25    0.414275    0.416747  0.00195983
          26    0.409662    0.416475  0.00190331
          27    0.418345    0.416544  0.00183407
          28    0.418615    0.416618  0.00177006
          29    0.417114    0.416635  0.00170911
          30    0.415829    0.416608  0.00165235
