#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.177572    0.177572           0
           2    0.134744    0.156158    0.015142
           3    0.137888    0.150068   0.0112529
           4    0.178004    0.157052   0.0103832
           5    0.198056    0.165253   0.0110816
           6    0.141076    0.161223  0.00994027
           7     0.12474    0.156011  0.00979172
           8    0.106216    0.149787   0.0103589
           9    0.158024    0.150702  0.00924826
          10    0.092284     0.14486  0.00999969
          11     0.16254    0.146468  0.00921888
          12    0.163288    0.147869  0.00855654
          13     0.15324    0.148282  0.00790831
          14    0.109752     0.14553  0.00780765
          15    0.203708    0.149409  0.00819405
          16    0.186668    0.151738  0.00800599
          17    0.148188    0.151529  0.00753777
          18    0.142224    0.151012  0.00713671
          19    0.131332    0.149976  0.00683584
          20    0.153864     0.15017  0.00649681
          21    0.152004    0.150258  0.00618803
          22    0.117668    0.148776  0.00608148
          23     0.13812    0.148313  0.00583469
          24    0.172952     0.14934  0.00568118
          25    0.158372    0.149701  0.00546541
          26    0.173564    0.150619  0.00533171
          27    0.193116    0.152193  0.00536153
          28     0.13224     0.15148  0.00521719
          29    0.154824    0.151595  0.00503856
          30    0.125912    0.150739   0.0049428
