#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.11386     0.11386           0
           2    0.103056    0.108458  0.00381979
           3    0.087044     0.10132   0.0063602
           4     0.12226    0.106555   0.0065809
           5    0.125204    0.110285  0.00623269
           6    0.072108    0.103922  0.00779194
           7    0.056348   0.0971257  0.00917592
           8    0.090612   0.0963115  0.00806497
           9    0.082768   0.0948067  0.00730791
          10    0.074172   0.0927432  0.00686226
          11    0.091544   0.0926342  0.00623928
          12    0.069148    0.090677  0.00601849
          13    0.076048   0.0895517  0.00565975
          14    0.093216   0.0898134  0.00526153
          15    0.120596   0.0918656  0.00529587
          16    0.106888   0.0928045  0.00504742
          17     0.09112   0.0927054  0.00475149
          18     0.08344   0.0921907  0.00451531
          19    0.082928   0.0917032   0.0043039
          20    0.092952   0.0917656  0.00408916
          21    0.074344    0.090936   0.0039777
          22      0.0956    0.091148  0.00380254
          23    0.097424   0.0914209  0.00364699
          24    0.098828   0.0917295  0.00350807
          25     0.08134   0.0913139  0.00339227
          26    0.105512     0.09186  0.00330546
          27    0.123452   0.0930301   0.0033838
          28     0.08674   0.0928054   0.0032704
          29    0.064732   0.0918374  0.00329779
          30    0.087272   0.0916852  0.00319137
