#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.372525    0.372525           0
           2     0.36446    0.368493  0.00285171
           3    0.366153    0.367713  0.00200495
           4    0.375518    0.369664  0.00226207
           5    0.367399    0.369211  0.00185448
           6    0.370815    0.369478  0.00156456
           7    0.373622     0.37007   0.0014487
           8     0.37674    0.370904  0.00148827
           9    0.375223    0.371384  0.00139813
          10    0.372995    0.371545  0.00126756
          11    0.372325    0.371616  0.00115431
          12    0.387843    0.372968  0.00167207
          13     0.37177    0.372876  0.00154599
          14    0.366562    0.372425   0.0014999
          15    0.358436    0.371492  0.00166477
          16    0.389154    0.372596  0.00189163
          17    0.363261    0.372047  0.00185835
          18    0.387509    0.372906  0.00194353
          19    0.366683    0.372579  0.00186863
          20    0.374646    0.372682  0.00177806
          21    0.370213    0.372564  0.00169727
          22    0.370161    0.372455  0.00162364
          23    0.363168    0.372051  0.00160247
          24    0.353786     0.37129  0.00170688
          25    0.366842    0.371112  0.00164785
          26    0.377643    0.371363   0.0016035
          27    0.382106    0.371761  0.00159271
          28    0.367071    0.371594  0.00154461
          29    0.385755    0.372082  0.00156664
          30    0.361642    0.371734  0.00155259
