#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.38364     4.38364           0
           2     4.27075     4.32719   0.0399138
           3     4.78679     4.48039    0.127884
           4       4.452     4.47329   0.0961101
           5     4.53736     4.48611   0.0777375
           6     4.62807     4.50977   0.0682869
           7     4.41058      4.4956   0.0599837
           8     4.42894     4.48727   0.0530613
           9     4.27969      4.4642   0.0519367
          10     4.46689     4.46447   0.0467437
          11     4.41561     4.46003   0.0427048
          12     4.42935     4.45747   0.0392225
          13     4.46631     4.45815   0.0362113
          14     4.42869     4.45605   0.0336859
          15     4.16147     4.43641   0.0367212
          16     4.55244     4.44366    0.035135
          17     4.26719     4.43328   0.0345677
          18     4.46907     4.43527   0.0327044
          19     4.49413     4.43837   0.0311295
          20     4.00899      4.4169   0.0362275
          21     4.18843     4.40602   0.0360991
          22     4.20165     4.39673   0.0356334
          23     4.30648      4.3928   0.0342994
          24     4.33611     4.39044   0.0329515
          25     4.26385     4.38538   0.0320202
          26     4.23046     4.37942   0.0313381
          27     4.38164      4.3795   0.0301776
          28     4.19445     4.37289   0.0298147
          29     4.47233     4.37632   0.0289831
          30     4.30211     4.37385   0.0281224
