#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613328   -0.613328           0
           2   -0.614464   -0.613896 0.000401637
           3   -0.612064   -0.613285 0.000565954
           4   -0.610224    -0.61252 0.000787065
           5   -0.609992   -0.612014 0.000775221
           6    -0.61508   -0.612525 0.000796795
           7   -0.616944   -0.613157 0.000898879
           8   -0.615448   -0.613443 0.000830902
           9   -0.613464   -0.613445 0.000738583
          10   -0.609928   -0.613094 0.000743776
          11   -0.611744   -0.612971 0.000686205
          12   -0.614088   -0.613064 0.000635304
          13   -0.613072   -0.613065 0.000586435
          14   -0.612592   -0.613031 0.000545518
          15   -0.611704   -0.612942 0.000516272
          16   -0.611888   -0.612877 0.000488193
          17   -0.610952   -0.612763 0.000472419
          18   -0.612104   -0.612727 0.000447591
          19   -0.613552    -0.61277 0.000426136
          20    -0.61252   -0.612758 0.000405013
          21   -0.615136   -0.612871 0.000401249
          22   -0.610856   -0.612779 0.000393324
          23    -0.61372    -0.61282 0.000378344
          24   -0.613904   -0.612865 0.000365264
          25    -0.61316   -0.612877 0.000350844
          26    -0.61164    -0.61283 0.000340561
          27   -0.611616   -0.612785   0.0003309
          28   -0.613392   -0.612806 0.000319793
          29   -0.611208   -0.612751 0.000313479
          30   -0.611384   -0.612706 0.000306324
