#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.308644    0.308644           0
           2    0.317439    0.313041  0.00310936
           3     0.31374    0.313274  0.00208162
           4    0.320501    0.315081  0.00221027
           5    0.319396    0.315944  0.00192935
           6    0.307358    0.314513  0.00207158
           7    0.308823      0.3137  0.00192853
           8    0.316933    0.314104  0.00172928
           9    0.309645    0.313609  0.00160655
          10    0.314367    0.313685  0.00144768
          11     0.32262    0.314497  0.00152708
          12    0.313419    0.314407  0.00140246
          13    0.323869    0.315135  0.00147139
          14    0.320788    0.315539  0.00142062
          15    0.311591    0.315276  0.00135006
          16    0.322207    0.315709  0.00133338
          17    0.324695    0.316237  0.00135569
          18    0.311544    0.315977   0.0013052
          19     0.31476    0.315913  0.00123808
          20    0.315528    0.315893  0.00117632
          21    0.316899    0.315941  0.00112128
          22    0.324553    0.316333  0.00113659
          23    0.319492     0.31647  0.00109544
          24    0.314089    0.316371  0.00105428
          25    0.313051    0.316238  0.00102043
          26    0.330568    0.316789  0.00112019
          27    0.316591    0.316782  0.00107872
          28    0.308535    0.316487  0.00107966
          29    0.320306    0.316619  0.00105043
          30    0.306653    0.316287  0.00106665
