#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.0653      3.0653           0
           2     2.85465     2.95997   0.0744745
           3     2.96953     2.96316   0.0497177
           4     2.92559     2.95377   0.0381649
           5      2.9089     2.94479   0.0315693
           6     2.94097     2.94416   0.0263142
           7     3.06567     2.96152    0.027695
           8     2.88819     2.95235   0.0257052
           9     2.94065     2.95105   0.0228819
          10     2.70158      2.9261   0.0313724
          11     2.99599     2.93246   0.0291567
          12     3.02251     2.93996   0.0276759
          13     2.95353       2.941   0.0255666
          14     2.90287     2.93828   0.0238851
          15     2.91143     2.93649   0.0223597
          16     3.06197     2.94433   0.0222951
          17     2.80862     2.93635   0.0223673
          18     2.91091     2.93494   0.0211692
          19     2.89582     2.93288   0.0201549
          20     2.95888     2.93418   0.0191891
          21     2.97147     2.93595   0.0183573
          22     2.89361     2.93403   0.0176235
          23      2.8896      2.9321   0.0169628
          24     2.98823     2.93444   0.0164164
          25     2.98822     2.93659   0.0159001
          26     2.98142     2.93831   0.0153818
          27     2.79316     2.93294   0.0157235
          28     3.00445     2.93549    0.015368
          29     2.63146     2.92501   0.0180635
          30     2.97892      2.9268   0.0175505
