#   N_BLOCK:  ACCEPTANCE:
           1     0.38566
           2    0.385855
           3    0.385997
           4    0.386362
           5    0.386941
           6    0.386645
           7    0.386425
           8    0.386329
           9    0.386375
          10    0.386737
          11     0.38697
          12    0.386891
          13    0.386961
          14    0.386986
          15    0.387054
          16    0.387104
          17    0.387158
          18    0.387177
          19    0.387105
          20    0.387008
          21    0.386931
          22    0.387073
          23    0.387052
          24    0.387041
          25    0.387067
          26    0.387069
          27    0.387095
          28    0.387111
          29    0.387202
          30    0.387225
