#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0551      0.0551           0
           2      0.0637      0.0594  0.00304056
           3    0.055696   0.0581653  0.00226388
           4    0.047852    0.055587  0.00280513
           5    0.046192    0.053708  0.00280366
           6     0.05146   0.0533333  0.00236129
           7      0.0586   0.0540857  0.00214047
           8     0.07222   0.0563525   0.0028291
           9    0.078072   0.0587658  0.00339129
          10    0.055992   0.0584884  0.00306348
          11    0.051428   0.0578465  0.00285143
          12    0.070844   0.0589297  0.00281201
          13    0.054136   0.0585609  0.00261977
          14    0.041748     0.05736  0.00269387
          15     0.05188   0.0569947  0.00253893
          16    0.069944    0.057804  0.00250592
          17    0.059432   0.0578998  0.00236035
          18    0.064276    0.058254  0.00225564
          19    0.052292   0.0579402  0.00215864
          20    0.064404   0.0582634  0.00207476
          21    0.064024   0.0585377  0.00199401
          22    0.064768   0.0588209  0.00192338
          23    0.051324    0.058495  0.00186717
          24      0.0584    0.058491  0.00178938
          25    0.062564   0.0586539   0.0017252
          26      0.0534   0.0584518  0.00167064
          27    0.056156   0.0583668  0.00161093
          28     0.06708    0.058678  0.00158317
          29    0.051536   0.0584317  0.00154761
          30    0.049168   0.0581229  0.00152652
