#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         134    0.970261    0.970087 6.76438e-06
         135    0.970265    0.970088   6.841e-06
         136    0.970269     0.97009 6.91792e-06
         137    0.970273    0.970091 6.99515e-06
         138    0.970277    0.970093  7.0727e-06
         139    0.970281    0.970094 7.15056e-06
         140    0.970285    0.970095 7.22873e-06
         141    0.970289    0.970097 7.30721e-06
         142    0.970293    0.970098   7.386e-06
         143    0.970298    0.970099  7.4651e-06
         144    0.970302    0.970101  7.5445e-06
         145    0.970306    0.970102 7.62421e-06
         146     0.97031    0.970104 7.70423e-06
         147    0.970315    0.970105 7.78455e-06
         148    0.970319    0.970107 7.86517e-06
         149    0.970324    0.970108 7.94609e-06
         150    0.970328    0.970109  8.0273e-06
         151    0.970332    0.970111 8.10882e-06
         152    0.970337    0.970112 8.19063e-06
         153    0.970341    0.970114 8.27273e-06
         154    0.970346    0.970115 8.35514e-06
         155    0.970351    0.970117 8.43784e-06
         156    0.970355    0.970118 8.52084e-06
         157     0.97036     0.97012 8.60413e-06
         158    0.970364    0.970122 8.68773e-06
         159    0.970369    0.970123 8.77163e-06
         160    0.970374    0.970125 8.85583e-06
         161    0.970379    0.970126 8.94033e-06
         162    0.970384    0.970128 9.02512e-06
         163    0.970388    0.970129 9.11021e-06
         164    0.970393    0.970131  9.1956e-06
         165    0.970398    0.970133 9.28128e-06
         166    0.970403    0.970134 9.36727e-06
         167    0.970408    0.970136 9.45355e-06
         168    0.970413    0.970138 9.54013e-06
         169    0.970418    0.970139 9.62701e-06
         170    0.970423    0.970141 9.71418e-06
         171    0.970428    0.970143 9.80164e-06
         172    0.970433    0.970144  9.8894e-06
         173    0.970439    0.970146 9.97745e-06
         174    0.970444    0.970148 1.00658e-05
         175    0.970449    0.970149 1.01544e-05
         176    0.970454    0.970151 1.02433e-05
         177    0.970459    0.970153 1.03325e-05
         178    0.970465    0.970155  1.0422e-05
         179     0.97047    0.970156 1.05118e-05
         180    0.970476    0.970158 1.06019e-05
         181    0.970481     0.97016 1.06923e-05
         182    0.970486    0.970162 1.07829e-05
         183    0.970492    0.970164 1.08738e-05
         184    0.970497    0.970165 1.09651e-05
         185    0.970503    0.970167 1.10566e-05
         186    0.970509    0.970169 1.11484e-05
         187    0.970514    0.970171 1.12405e-05
         188     0.97052    0.970173 1.13329e-05
         189    0.970525    0.970175 1.14256e-05
         190    0.970531    0.970176 1.15186e-05
         191    0.970537    0.970178 1.16119e-05
         192    0.970543     0.97018 1.17055e-05
         193    0.970549    0.970182 1.17993e-05
         194    0.970554    0.970184 1.18935e-05
         195     0.97056    0.970186 1.19879e-05
         196    0.970566    0.970188 1.20827e-05
         197    0.970572     0.97019 1.21777e-05
         198    0.970578    0.970192  1.2273e-05
         199    0.970584    0.970194 1.23686e-05
         200     0.97059    0.970196 1.24645e-05
         201    0.970596    0.970198 1.25607e-05
         202    0.970602      0.9702 1.26572e-05
         203    0.970609    0.970202  1.2754e-05
         204    0.970615    0.970204  1.2851e-05
         205    0.970621    0.970206 1.29484e-05
         206    0.970627    0.970208  1.3046e-05
         207    0.970633     0.97021 1.31439e-05
         208     0.97064    0.970212 1.32421e-05
         209    0.970646    0.970214 1.33406e-05
         210    0.970652    0.970216 1.34394e-05
         211    0.970659    0.970218 1.35385e-05
         212    0.970665     0.97022 1.36378e-05
         213    0.970672    0.970223 1.37375e-05
         214    0.970678    0.970225 1.38374e-05
         215    0.970685    0.970227 1.39376e-05
         216    0.970691    0.970229 1.40381e-05
         217    0.970698    0.970231 1.41389e-05
         218    0.970705    0.970233 1.42399e-05
         219    0.970711    0.970235 1.43413e-05
         220    0.970718    0.970238 1.44429e-05
         221    0.970725     0.97024 1.45448e-05
         222    0.970732    0.970242  1.4647e-05
         223    0.970738    0.970244 1.47495e-05
         224    0.970745    0.970247 1.48523e-05
         225    0.970752    0.970249 1.49553e-05
         226    0.970759    0.970251 1.50587e-05
         227    0.970766    0.970253 1.51623e-05
         228    0.970773    0.970256 1.52662e-05
         229     0.97078    0.970258 1.53704e-05
         230    0.970787     0.97026 1.54749e-05
         231    0.970794    0.970263 1.55796e-05
         232    0.970801    0.970265 1.56847e-05
         233    0.970809    0.970267   1.579e-05
         234    0.970816     0.97027 1.58957e-05
         235    0.970823    0.970272 1.60016e-05
         236     0.97083    0.970274 1.61078e-05
         237    0.970838    0.970277 1.62143e-05
         238    0.970845    0.970279 1.63211e-05
         239    0.970852    0.970281 1.64282e-05
         240     0.97086    0.970284 1.65356e-05
         241    0.970867    0.970286 1.66433e-05
         242    0.970875    0.970289 1.67513e-05
         243    0.970882    0.970291 1.68596e-05
         244     0.97089    0.970294 1.69681e-05
         245    0.970897    0.970296  1.7077e-05
         246    0.970905    0.970298 1.71862e-05
         247    0.970913    0.970301 1.72956e-05
         248    0.970921    0.970303 1.74053e-05
         249    0.970928    0.970306 1.75154e-05
         250    0.970936    0.970309 1.76257e-05
         251    0.970944    0.970311 1.77363e-05
         252    0.970952    0.970314 1.78472e-05
         253     0.97096    0.970316 1.79584e-05
         254    0.970968    0.970319 1.80699e-05
         255    0.970976    0.970321 1.81817e-05
         256    0.970984    0.970324 1.82938e-05
         257    0.970992    0.970326 1.84062e-05
         258       0.971    0.970329 1.85188e-05
         259    0.971008    0.970332 1.86318e-05
         260    0.971016    0.970334 1.87451e-05
         261    0.971024    0.970337 1.88586e-05
         262    0.971032     0.97034 1.89724e-05
         263    0.971041    0.970342 1.90865e-05
         264    0.971049    0.970345 1.92009e-05
         265    0.971057    0.970348 1.93156e-05
         266    0.971066     0.97035 1.94306e-05
         267    0.971074    0.970353 1.95459e-05
         268    0.971082    0.970356 1.96615e-05
         269    0.971091    0.970359 1.97774e-05
         270    0.971099    0.970361 1.98935e-05
         271    0.971108    0.970364   2.001e-05
         272    0.971116    0.970367 2.01267e-05
         273    0.971125     0.97037 2.02438e-05
         274    0.971134    0.970372 2.03611e-05
         275    0.971142    0.970375 2.04787e-05
         276    0.971151    0.970378 2.05966e-05
         277     0.97116    0.970381 2.07148e-05
         278    0.971169    0.970384 2.08333e-05
         279    0.971178    0.970386  2.0952e-05
         280    0.971186    0.970389 2.10711e-05
         281    0.971195    0.970392 2.11905e-05
         282    0.971204    0.970395 2.13101e-05
         283    0.971213    0.970398 2.14301e-05
         284    0.971222    0.970401 2.15503e-05
         285    0.971231    0.970404 2.16708e-05
         286    0.971241    0.970407 2.17916e-05
         287     0.97125     0.97041 2.19128e-05
         288    0.971259    0.970413 2.20342e-05
         289    0.971268    0.970416 2.21559e-05
         290    0.971277    0.970419 2.22778e-05
         291    0.971287    0.970421 2.24001e-05
         292    0.971296    0.970424 2.25227e-05
         293    0.971305    0.970427 2.26455e-05
         294    0.971315    0.970431 2.27687e-05
         295    0.971324    0.970434 2.28921e-05
         296    0.971334    0.970437 2.30158e-05
         297    0.971343     0.97044 2.31398e-05
         298    0.971353    0.970443 2.32641e-05
         299    0.971362    0.970446 2.33887e-05
         300    0.971372    0.970449 2.35136e-05
         301    0.971382    0.970452 2.36387e-05
         302    0.971391    0.970455 2.37642e-05
         303    0.971401    0.970458 2.38899e-05
         304    0.971411    0.970461 2.40159e-05
         305    0.971421    0.970464 2.41423e-05
         306     0.97143    0.970468 2.42689e-05
         307     0.97144    0.970471 2.43958e-05
         308     0.97145    0.970474 2.45229e-05
         309     0.97146    0.970477 2.46504e-05
         310     0.97147     0.97048 2.47782e-05
         311     0.97148    0.970484 2.49062e-05
         312     0.97149    0.970487 2.50346e-05
         313    0.971501     0.97049 2.51632e-05
         314    0.971511    0.970493 2.52922e-05
         315    0.971521    0.970497 2.54214e-05
         316    0.971531      0.9705 2.55509e-05
         317    0.971541    0.970503 2.56808e-05
         318    0.971552    0.970506 2.58109e-05
         319    0.971562     0.97051 2.59413e-05
         320    0.971573    0.970513  2.6072e-05
         321    0.971583    0.970516  2.6203e-05
         322    0.971594     0.97052 2.63343e-05
         323    0.971604    0.970523 2.64659e-05
         324    0.971615    0.970526 2.65978e-05
         325    0.971625     0.97053 2.67299e-05
         326    0.971636    0.970533 2.68624e-05
         327    0.971647    0.970537 2.69952e-05
         328    0.971657     0.97054 2.71282e-05
         329    0.971668    0.970543 2.72616e-05
         330    0.971679    0.970547 2.73952e-05
         331     0.97169     0.97055 2.75292e-05
         332    0.971701    0.970554 2.76634e-05
         333    0.971712    0.970557 2.77979e-05
