#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       1.455       1.455           0
           2       1.455       1.455 2.10734e-08
           3       1.455       1.455 2.10734e-08
           4       1.455       1.455 4.08085e-08
           5       1.455       1.455 5.96046e-08
           6       1.455       1.455 8.07051e-08
           7       1.455       1.455 1.04763e-07
           8       1.455       1.455 1.30757e-07
           9       1.455       1.455  1.5879e-07
          10       1.455       1.455 1.88251e-07
          11       1.455       1.455 2.19554e-07
          12       1.455       1.455 2.52442e-07
          13       1.455       1.455  2.8657e-07
          14       1.455       1.455 3.22115e-07
          15       1.455       1.455 3.59074e-07
          16       1.455       1.455 3.97333e-07
          17     1.45501       1.455 4.36868e-07
          18     1.45501       1.455 4.77561e-07
          19     1.45501       1.455 5.19441e-07
          20     1.45501       1.455 5.62487e-07
          21     1.45501       1.455 6.06649e-07
          22     1.45501       1.455 6.51884e-07
          23     1.45501       1.455 6.98208e-07
          24     1.45501       1.455 7.45555e-07
          25     1.45501       1.455 7.93917e-07
          26     1.45501       1.455 8.43281e-07
          27     1.45501     1.45501 8.93619e-07
          28     1.45502     1.45501  9.4492e-07
          29     1.45502     1.45501 9.97161e-07
          30     1.45502     1.45501 1.05032e-06
          31     1.45502     1.45501 1.10437e-06
          32     1.45502     1.45501 1.15932e-06
          33     1.45502     1.45501 1.21515e-06
          34     1.45502     1.45501 1.27184e-06
          35     1.45503     1.45501 1.32938e-06
          36     1.45503     1.45501 1.38775e-06
          37     1.45503     1.45501 1.44695e-06
          38     1.45503     1.45501 1.50697e-06
          39     1.45503     1.45501 1.56779e-06
          40     1.45503     1.45501 1.62939e-06
          41     1.45504     1.45501 1.69178e-06
          42     1.45504     1.45501 1.75495e-06
          43     1.45504     1.45501 1.81887e-06
          44     1.45504     1.45501 1.88355e-06
          45     1.45504     1.45501 1.94897e-06
          46     1.45504     1.45502 2.01513e-06
          47     1.45505     1.45502 2.08202e-06
          48     1.45505     1.45502 2.14963e-06
          49     1.45505     1.45502 2.21795e-06
          50     1.45505     1.45502 2.28698e-06
          51     1.45506     1.45502  2.3567e-06
          52     1.45506     1.45502 2.42711e-06
          53     1.45506     1.45502 2.49821e-06
          54     1.45506     1.45502 2.56999e-06
          55     1.45506     1.45502 2.64244e-06
          56     1.45507     1.45502 2.71556e-06
          57     1.45507     1.45502 2.78933e-06
          58     1.45507     1.45502 2.86376e-06
          59     1.45507     1.45503 2.93884e-06
          60     1.45508     1.45503 3.01456e-06
          61     1.45508     1.45503 3.09091e-06
          62     1.45508     1.45503  3.1679e-06
          63     1.45508     1.45503 3.24552e-06
          64     1.45509     1.45503 3.32376e-06
          65     1.45509     1.45503 3.40261e-06
          66     1.45509     1.45503 3.48208e-06
          67      1.4551     1.45503 3.56216e-06
          68      1.4551     1.45503 3.64284e-06
          69      1.4551     1.45503 3.72412e-06
          70     1.45511     1.45504   3.806e-06
          71     1.45511     1.45504 3.88846e-06
          72     1.45511     1.45504 3.97152e-06
          73     1.45511     1.45504 4.05516e-06
          74     1.45512     1.45504 4.13937e-06
          75     1.45512     1.45504 4.22416e-06
          76     1.45512     1.45504 4.30953e-06
          77     1.45513     1.45504 4.39546e-06
          78     1.45513     1.45504 4.48196e-06
          79     1.45513     1.45505 4.56902e-06
          80     1.45514     1.45505 4.65663e-06
          81     1.45514     1.45505  4.7448e-06
          82     1.45514     1.45505 4.83352e-06
          83     1.45515     1.45505 4.92279e-06
          84     1.45515     1.45505 5.01261e-06
          85     1.45516     1.45505 5.10297e-06
          86     1.45516     1.45505 5.19386e-06
          87     1.45516     1.45505  5.2853e-06
          88     1.45517     1.45506 5.37726e-06
          89     1.45517     1.45506 5.46976e-06
          90     1.45517     1.45506 5.56278e-06
          91     1.45518     1.45506 5.65633e-06
          92     1.45518     1.45506  5.7504e-06
          93     1.45519     1.45506 5.84499e-06
          94     1.45519     1.45506  5.9401e-06
          95      1.4552     1.45507 6.03573e-06
          96      1.4552     1.45507 6.13186e-06
          97      1.4552     1.45507 6.22851e-06
          98     1.45521     1.45507 6.32566e-06
          99     1.45521     1.45507 6.42332e-06
         100     1.45522     1.45507 6.52148e-06
         101     1.45522     1.45507 6.62014e-06
         102     1.45523     1.45508 6.71931e-06
         103     1.45523     1.45508 6.81896e-06
         104     1.45523     1.45508 6.91912e-06
         105     1.45524     1.45508 7.01976e-06
         106     1.45524     1.45508  7.1209e-06
         107     1.45525     1.45508 7.22252e-06
         108     1.45525     1.45508 7.32463e-06
         109     1.45526     1.45509 7.42722e-06
         110     1.45526     1.45509  7.5303e-06
         111     1.45527     1.45509 7.63386e-06
         112     1.45527     1.45509 7.73789e-06
         113     1.45528     1.45509 7.84241e-06
         114     1.45528     1.45509  7.9474e-06
         115     1.45529      1.4551 8.05286e-06
         116     1.45529      1.4551 8.15879e-06
         117      1.4553      1.4551  8.2652e-06
         118      1.4553      1.4551 8.37207e-06
         119     1.45531      1.4551 8.47941e-06
         120     1.45531      1.4551 8.58722e-06
         121     1.45532     1.45511 8.69551e-06
         122     1.45532     1.45511 8.80427e-06
         123     1.45533     1.45511  8.9135e-06
         124     1.45533     1.45511 9.02321e-06
         125     1.45534     1.45511 9.13341e-06
         126     1.45535     1.45512 9.24409e-06
         127     1.45535     1.45512 9.35524e-06
         128     1.45536     1.45512 9.46688e-06
         129     1.45536     1.45512 9.57899e-06
         130     1.45537     1.45512 9.69157e-06
         131     1.45537     1.45512 9.80462e-06
         132     1.45538     1.45513 9.91814e-06
         133     1.45539     1.45513 1.00321e-05
         134     1.45539     1.45513 1.01466e-05
         135      1.4554     1.45513 1.02615e-05
         136      1.4554     1.45513 1.03769e-05
         137     1.45541     1.45514 1.04927e-05
         138     1.45542     1.45514 1.06091e-05
         139     1.45542     1.45514 1.07258e-05
         140     1.45543     1.45514 1.08431e-05
         141     1.45543     1.45514 1.09608e-05
         142     1.45544     1.45515  1.1079e-05
         143     1.45545     1.45515 1.11976e-05
         144     1.45545     1.45515 1.13168e-05
         145     1.45546     1.45515 1.14363e-05
         146     1.45547     1.45516 1.15563e-05
         147     1.45547     1.45516 1.16768e-05
         148     1.45548     1.45516 1.17977e-05
         149     1.45549     1.45516 1.19191e-05
         150     1.45549     1.45516  1.2041e-05
         151      1.4555     1.45517 1.21632e-05
         152     1.45551     1.45517 1.22859e-05
         153     1.45551     1.45517 1.24091e-05
         154     1.45552     1.45517 1.25327e-05
         155     1.45553     1.45518 1.26568e-05
         156     1.45553     1.45518 1.27813e-05
         157     1.45554     1.45518 1.29062e-05
         158     1.45555     1.45518 1.30316e-05
         159     1.45555     1.45518 1.31574e-05
         160     1.45556     1.45519 1.32837e-05
         161     1.45557     1.45519 1.34105e-05
         162     1.45558     1.45519 1.35377e-05
         163     1.45558     1.45519 1.36653e-05
         164     1.45559      1.4552 1.37934e-05
         165      1.4556      1.4552 1.39219e-05
         166      1.4556      1.4552 1.40509e-05
         167     1.45561      1.4552 1.41803e-05
         168     1.45562     1.45521 1.43102e-05
         169     1.45563     1.45521 1.44405e-05
         170     1.45563     1.45521 1.45713e-05
         171     1.45564     1.45521 1.47025e-05
         172     1.45565     1.45522 1.48341e-05
         173     1.45566     1.45522 1.49662e-05
         174     1.45567     1.45522 1.50987e-05
         175     1.45567     1.45522 1.52316e-05
         176     1.45568     1.45523  1.5365e-05
         177     1.45569     1.45523 1.54988e-05
         178      1.4557     1.45523 1.56331e-05
         179     1.45571     1.45523 1.57677e-05
         180     1.45571     1.45524 1.59028e-05
         181     1.45572     1.45524 1.60384e-05
         182     1.45573     1.45524 1.61744e-05
         183     1.45574     1.45525 1.63108e-05
         184     1.45575     1.45525 1.64476e-05
         185     1.45575     1.45525 1.65849e-05
         186     1.45576     1.45525 1.67226e-05
         187     1.45577     1.45526 1.68608e-05
         188     1.45578     1.45526 1.69994e-05
         189     1.45579     1.45526 1.71384e-05
         190      1.4558     1.45526 1.72779e-05
         191     1.45581     1.45527 1.74178e-05
         192     1.45581     1.45527 1.75582e-05
         193     1.45582     1.45527  1.7699e-05
         194     1.45583     1.45528 1.78402e-05
         195     1.45584     1.45528 1.79819e-05
         196     1.45585     1.45528  1.8124e-05
         197     1.45586     1.45528 1.82665e-05
         198     1.45587     1.45529 1.84095e-05
         199     1.45588     1.45529  1.8553e-05
         200     1.45589     1.45529 1.86968e-05
         201     1.45589      1.4553 1.88411e-05
         202      1.4559      1.4553 1.89858e-05
         203     1.45591      1.4553  1.9131e-05
         204     1.45592     1.45531 1.92766e-05
         205     1.45593     1.45531 1.94226e-05
         206     1.45594     1.45531  1.9569e-05
         207     1.45595     1.45531 1.97159e-05
         208     1.45596     1.45532 1.98632e-05
         209     1.45597     1.45532  2.0011e-05
         210     1.45598     1.45532 2.01591e-05
         211     1.45599     1.45533 2.03077e-05
         212       1.456     1.45533 2.04568e-05
         213     1.45601     1.45533 2.06062e-05
         214     1.45602     1.45534 2.07561e-05
         215     1.45603     1.45534 2.09064e-05
         216     1.45604     1.45534 2.10571e-05
         217     1.45605     1.45535 2.12083e-05
         218     1.45606     1.45535 2.13599e-05
         219     1.45607     1.45535 2.15119e-05
         220     1.45608     1.45536 2.16644e-05
         221     1.45609     1.45536 2.18173e-05
         222      1.4561     1.45536 2.19706e-05
         223     1.45611     1.45537 2.21243e-05
         224     1.45612     1.45537 2.22784e-05
         225     1.45613     1.45537  2.2433e-05
         226     1.45614     1.45538  2.2588e-05
         227     1.45615     1.45538 2.27435e-05
         228     1.45616     1.45538 2.28993e-05
         229     1.45617     1.45539 2.30556e-05
         230     1.45618     1.45539 2.32123e-05
         231     1.45619     1.45539 2.33695e-05
         232      1.4562      1.4554  2.3527e-05
         233     1.45621      1.4554 2.36851e-05
         234     1.45622      1.4554 2.38435e-05
         235     1.45623     1.45541 2.40024e-05
         236     1.45625     1.45541 2.41617e-05
         237     1.45626     1.45541 2.43215e-05
         238     1.45627     1.45542 2.44817e-05
         239     1.45628     1.45542 2.46424e-05
         240     1.45629     1.45543 2.48035e-05
         241      1.4563     1.45543  2.4965e-05
         242     1.45631     1.45543 2.51269e-05
         243     1.45632     1.45544 2.52894e-05
         244     1.45633     1.45544 2.54522e-05
         245     1.45635     1.45544 2.56155e-05
         246     1.45636     1.45545 2.57792e-05
         247     1.45637     1.45545 2.59434e-05
         248     1.45638     1.45546  2.6108e-05
         249     1.45639     1.45546 2.62731e-05
         250      1.4564     1.45546 2.64386e-05
         251     1.45642     1.45547 2.66045e-05
         252     1.45643     1.45547 2.67709e-05
         253     1.45644     1.45547 2.69377e-05
         254     1.45645     1.45548 2.71049e-05
         255     1.45646     1.45548 2.72726e-05
         256     1.45648     1.45549 2.74407e-05
         257     1.45649     1.45549 2.76093e-05
         258      1.4565     1.45549 2.77783e-05
         259     1.45651      1.4555 2.79477e-05
         260     1.45652      1.4555 2.81176e-05
         261     1.45654     1.45551 2.82879e-05
         262     1.45655     1.45551 2.84586e-05
         263     1.45656     1.45551 2.86298e-05
         264     1.45657     1.45552 2.88014e-05
         265     1.45659     1.45552 2.89735e-05
         266      1.4566     1.45553  2.9146e-05
         267     1.45661     1.45553 2.93189e-05
         268     1.45662     1.45553 2.94923e-05
         269     1.45664     1.45554 2.96661e-05
         270     1.45665     1.45554 2.98403e-05
         271     1.45666     1.45555  3.0015e-05
         272     1.45667     1.45555 3.01901e-05
         273     1.45669     1.45555 3.03656e-05
         274      1.4567     1.45556 3.05416e-05
         275     1.45671     1.45556  3.0718e-05
         276     1.45673     1.45557 3.08949e-05
         277     1.45674     1.45557 3.10722e-05
         278     1.45675     1.45558 3.12499e-05
         279     1.45677     1.45558 3.14281e-05
         280     1.45678     1.45558 3.16067e-05
         281     1.45679     1.45559 3.17857e-05
         282     1.45681     1.45559 3.19652e-05
         283     1.45682      1.4556 3.21451e-05
         284     1.45683      1.4556 3.23254e-05
         285     1.45685     1.45561 3.25062e-05
         286     1.45686     1.45561 3.26875e-05
         287     1.45687     1.45561 3.28691e-05
         288     1.45689     1.45562 3.30512e-05
         289      1.4569     1.45562 3.32338e-05
         290     1.45692     1.45563 3.34168e-05
         291     1.45693     1.45563 3.36002e-05
         292     1.45694     1.45564  3.3784e-05
         293     1.45696     1.45564 3.39683e-05
         294     1.45697     1.45565  3.4153e-05
         295     1.45699     1.45565 3.43381e-05
         296       1.457     1.45565 3.45237e-05
         297     1.45701     1.45566 3.47097e-05
         298     1.45703     1.45566 3.48962e-05
         299     1.45704     1.45567 3.50831e-05
         300     1.45706     1.45567 3.52704e-05
         301     1.45707     1.45568 3.54581e-05
         302     1.45709     1.45568 3.56463e-05
         303      1.4571     1.45569 3.58349e-05
         304     1.45712     1.45569 3.60239e-05
         305     1.45713      1.4557 3.62134e-05
         306     1.45715      1.4557 3.64033e-05
         307     1.45716     1.45571 3.65936e-05
         308     1.45718     1.45571 3.67844e-05
         309     1.45719     1.45572 3.69756e-05
         310     1.45721     1.45572 3.71673e-05
         311     1.45722     1.45573 3.73594e-05
         312     1.45724     1.45573 3.75519e-05
         313     1.45725     1.45574 3.77449e-05
         314     1.45727     1.45574 3.79383e-05
         315     1.45728     1.45574 3.81321e-05
         316      1.4573     1.45575 3.83264e-05
         317     1.45731     1.45575 3.85211e-05
         318     1.45733     1.45576 3.87163e-05
         319     1.45734     1.45576 3.89119e-05
         320     1.45736     1.45577  3.9108e-05
         321     1.45737     1.45577 3.93045e-05
         322     1.45739     1.45578 3.95014e-05
         323     1.45741     1.45578 3.96988e-05
         324     1.45742     1.45579 3.98966e-05
         325     1.45744     1.45579 4.00949e-05
         326     1.45745      1.4558 4.02936e-05
         327     1.45747      1.4558 4.04928e-05
         328     1.45749     1.45581 4.06923e-05
         329      1.4575     1.45582 4.08924e-05
         330     1.45752     1.45582 4.10928e-05
         331     1.45753     1.45583 4.12938e-05
         332     1.45755     1.45583 4.14951e-05
         333     1.45757     1.45584 4.16969e-05
         334     1.45758     1.45584 4.18992e-05
         335      1.4576     1.45585 4.21018e-05
         336     1.45762     1.45585  4.2305e-05
         337     1.45763     1.45586 4.25085e-05
         338     1.45765     1.45586 4.27126e-05
         339     1.45767     1.45587  4.2917e-05
         340     1.45768     1.45587 4.31219e-05
         341      1.4577     1.45588 4.33273e-05
         342     1.45772     1.45588  4.3533e-05
         343     1.45773     1.45589 4.37393e-05
         344     1.45775     1.45589  4.3946e-05
         345     1.45777      1.4559 4.41531e-05
         346     1.45779     1.45591 4.43606e-05
         347      1.4578     1.45591 4.45687e-05
         348     1.45782     1.45592 4.47771e-05
