#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         141   0.0485145   0.0485048  3.6536e-07
         142   0.0485147   0.0485049   3.693e-07
         143   0.0485149    0.048505 3.73255e-07
         144   0.0485151    0.048505 3.77225e-07
         145   0.0485153   0.0485051 3.81211e-07
         146   0.0485155   0.0485052 3.85211e-07
         147   0.0485157   0.0485053 3.89227e-07
         148    0.048516   0.0485053 3.93258e-07
         149   0.0485162   0.0485054 3.97304e-07
         150   0.0485164   0.0485055 4.01365e-07
         151   0.0485166   0.0485055 4.05441e-07
         152   0.0485168   0.0485056 4.09531e-07
         153   0.0485171   0.0485057 4.13637e-07
         154   0.0485173   0.0485058 4.17757e-07
         155   0.0485175   0.0485058 4.21892e-07
         156   0.0485178   0.0485059 4.26042e-07
         157    0.048518    0.048506 4.30207e-07
         158   0.0485182   0.0485061 4.34387e-07
         159   0.0485185   0.0485062 4.38582e-07
         160   0.0485187   0.0485062 4.42791e-07
         161   0.0485189   0.0485063 4.47016e-07
         162   0.0485192   0.0485064 4.51256e-07
         163   0.0485194   0.0485065 4.55511e-07
         164   0.0485197   0.0485066  4.5978e-07
         165   0.0485199   0.0485066 4.64064e-07
         166   0.0485202   0.0485067 4.68363e-07
         167   0.0485204   0.0485068 4.72677e-07
         168   0.0485207   0.0485069 4.77006e-07
         169   0.0485209    0.048507  4.8135e-07
         170   0.0485212    0.048507 4.85709e-07
         171   0.0485214   0.0485071 4.90082e-07
         172   0.0485217   0.0485072  4.9447e-07
         173   0.0485219   0.0485073 4.98873e-07
         174   0.0485222   0.0485074  5.0329e-07
         175   0.0485224   0.0485075 5.07721e-07
         176   0.0485227   0.0485076 5.12167e-07
         177    0.048523   0.0485076 5.16627e-07
         178   0.0485232   0.0485077 5.21102e-07
         179   0.0485235   0.0485078 5.25591e-07
         180   0.0485238   0.0485079 5.30095e-07
         181    0.048524    0.048508 5.34613e-07
         182   0.0485243   0.0485081 5.39145e-07
         183   0.0485246   0.0485082 5.43692e-07
         184   0.0485249   0.0485083 5.48254e-07
         185   0.0485251   0.0485084 5.52831e-07
         186   0.0485254   0.0485085 5.57422e-07
         187   0.0485257   0.0485085 5.62027e-07
         188    0.048526   0.0485086 5.66647e-07
         189   0.0485263   0.0485087 5.71282e-07
         190   0.0485266   0.0485088 5.75931e-07
         191   0.0485268   0.0485089 5.80594e-07
         192   0.0485271    0.048509 5.85273e-07
         193   0.0485274   0.0485091 5.89966e-07
         194   0.0485277   0.0485092 5.94674e-07
         195    0.048528   0.0485093 5.99396e-07
         196   0.0485283   0.0485094 6.04133e-07
         197   0.0485286   0.0485095 6.08885e-07
         198   0.0485289   0.0485096 6.13651e-07
         199   0.0485292   0.0485097 6.18432e-07
         200   0.0485295   0.0485098 6.23227e-07
         201   0.0485298   0.0485099 6.28037e-07
         202   0.0485301     0.04851 6.32861e-07
         203   0.0485304   0.0485101 6.37699e-07
         204   0.0485307   0.0485102 6.42552e-07
         205    0.048531   0.0485103 6.47419e-07
         206   0.0485314   0.0485104 6.52301e-07
         207   0.0485317   0.0485105 6.57197e-07
         208    0.048532   0.0485106 6.62107e-07
         209   0.0485323   0.0485107 6.67032e-07
         210   0.0485326   0.0485108 6.71971e-07
         211   0.0485329   0.0485109 6.76924e-07
         212   0.0485333    0.048511 6.81892e-07
         213   0.0485336   0.0485111 6.86874e-07
         214   0.0485339   0.0485112  6.9187e-07
         215   0.0485342   0.0485113  6.9688e-07
         216   0.0485346   0.0485114 7.01904e-07
         217   0.0485349   0.0485116 7.06943e-07
