#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.290259    0.290259           0
           2    0.294296    0.292277  0.00142702
           3     0.29017    0.291575  0.00111091
           4    0.296969    0.292923  0.00143463
           5    0.290274    0.292393  0.00124174
           6    0.288124    0.291682  0.00122178
           7    0.297003    0.292442  0.00126174
           8    0.286483    0.291697   0.0013055
           9    0.283229    0.290756  0.00146068
          10    0.295438    0.291224  0.00138761
          11    0.288901    0.291013  0.00127743
          12    0.292624    0.291147  0.00117801
          13     0.29154    0.291178  0.00108778
          14    0.298582    0.291706  0.00113137
          15    0.295715    0.291974  0.00108704
          16    0.304738    0.292771  0.00127875
          17    0.302402    0.293338  0.00132307
          18    0.285565    0.292906  0.00131815
          19    0.301617    0.293365  0.00132611
          20    0.297329    0.293563  0.00127453
          21    0.295456    0.293653  0.00121702
          22    0.288781    0.293431  0.00118168
          23    0.297225    0.293596  0.00114176
          24    0.287249    0.293332   0.0011244
          25    0.303347    0.293733  0.00114857
          26    0.306979    0.294242  0.00121214
          27    0.297246    0.294353  0.00117234
          28    0.286142     0.29406  0.00116658
          29    0.298824    0.294224  0.00113786
          30    0.275869    0.293612  0.00125368
