#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.052672    0.052672           0
           2    0.046432    0.049552  0.00220617
           3    0.046516     0.04854    0.001687
           4    0.048728    0.048587   0.0012659
           5    0.046988   0.0482672  0.00105234
           6    0.037688    0.046504  0.00183297
           7    0.054236   0.0476086  0.00187462
           8    0.049928   0.0478985  0.00166256
           9    0.055636   0.0487582  0.00168552
          10    0.060352   0.0499176  0.00187375
          11    0.047524      0.0497    0.001716
          12    0.050804    0.049792  0.00157546
          13    0.049496   0.0497692  0.00145444
          14    0.055116   0.0501511  0.00139979
          15    0.049296   0.0500941  0.00130763
          16    0.047356    0.049923  0.00123705
          17    0.039256   0.0492955  0.00131382
          18     0.05838   0.0498002  0.00133425
          19    0.052372   0.0499356  0.00127087
          20    0.048852   0.0498814  0.00120848
          21    0.045092   0.0496533  0.00117226
          22    0.064196   0.0503144  0.00129198
          23    0.047652   0.0501986  0.00124098
          24    0.052292   0.0502858  0.00119233
          25     0.04854    0.050216  0.00114668
          26     0.05576   0.0504292  0.00112223
          27    0.033004   0.0497839  0.00125257
          28    0.058452   0.0500934   0.0012455
          29    0.045716   0.0499425  0.00121167
          30    0.052652   0.0500328  0.00117464
