#   N_BLOCK:  ACCEPTANCE:
           1    0.416038
           2     0.41579
           3    0.416101
           4    0.416718
           5    0.417236
           6    0.417042
           7    0.416909
           8    0.416861
           9    0.416779
          10    0.416906
          11     0.41704
          12    0.417094
          13    0.417137
          14    0.416997
          15    0.417027
          16    0.417073
          17    0.417048
          18      0.4172
          19    0.417047
          20    0.416975
          21    0.416949
          22    0.416958
          23    0.416907
          24    0.416932
          25       0.417
          26     0.41705
          27    0.417087
          28    0.417053
          29    0.417075
          30     0.41713
