#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.61318     2.61318           0
           2     2.49939     2.55629   0.0402297
           3     2.52631      2.5463   0.0280328
           4     2.34172     2.49515   0.0490291
           5     2.49598     2.49532   0.0392235
           6     2.54558     2.50369   0.0335689
           7     2.61229     2.51921   0.0321592
           8     2.46713      2.5127   0.0287906
           9     2.60284     2.52271   0.0272781
          10     2.42116     2.51256   0.0263731
          11     2.58718     2.51934   0.0248327
          12     2.61475     2.52729   0.0240024
          13     2.44623     2.52106   0.0229518
          14     2.65179     2.53039    0.023134
          15     2.47743     2.52686   0.0218596
          16     2.58055     2.53022   0.0207493
          17     2.49487     2.52814   0.0196327
          18     2.40186     2.52112   0.0197558
          19     2.50662     2.52036   0.0187307
          20     2.67451     2.52807    0.019315
          21     2.50219     2.52684   0.0184345
          22     2.45161     2.52342   0.0179109
          23     2.53591     2.52396   0.0171404
          24     2.53452      2.5244   0.0164319
          25     2.47504     2.52243   0.0158928
          26     2.51229     2.52204   0.0152863
          27     2.48761     2.52076   0.0147732
          28     2.54843     2.52175   0.0142786
          29     2.56665      2.5233   0.0138699
          30     2.45932     2.52116   0.0135705
