#   N_BLOCK:  ACCEPTANCE:
           1    0.063132
           2    0.061059
           3   0.0596267
           4   0.0617875
           5   0.0636596
           6    0.065168
           7   0.0666914
           8    0.067058
           9   0.0668973
          10   0.0667626
          11   0.0665465
          12   0.0661788
          13   0.0663826
          14   0.0665574
          15    0.066326
          16   0.0666082
          17   0.0664341
          18   0.0661843
          19   0.0657396
          20   0.0656616
          21   0.0658246
          22   0.0661039
          23   0.0659463
          24   0.0658618
          25   0.0658202
          26   0.0655994
          27   0.0656824
          28   0.0658307
          29   0.0660631
          30   0.0660479
