#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450624    0.450624           0
           2    0.423559    0.437091  0.00956892
           3    0.429306    0.434496  0.00672195
           4    0.404868    0.427089  0.00815874
           5    0.412538    0.424179  0.00702691
           6    0.487964     0.43481   0.0113345
           7    0.446729    0.436512  0.00984232
           8    0.390332     0.43074   0.0101649
           9    0.407919    0.428204  0.00934634
          10    0.417576    0.427141  0.00847192
          11    0.472388    0.431255  0.00864279
          12    0.395271    0.428256  0.00842671
          13    0.441432     0.42927  0.00783922
          14     0.37405    0.425325  0.00821182
          15     0.43521    0.425984  0.00769075
          16    0.381652    0.423214  0.00769303
          17    0.450772    0.424835  0.00740933
          18    0.409284    0.423971  0.00704789
          19    0.425904    0.424072  0.00667768
          20    0.421115    0.423925  0.00634543
          21    0.419581    0.423718  0.00604664
          22     0.44622    0.424741  0.00585767
          23    0.461232    0.426327  0.00581388
          24    0.432294    0.426576  0.00557695
          25    0.413218    0.426041  0.00537941
          26    0.408132    0.425353  0.00521642
          27    0.426844    0.425408  0.00502352
          28    0.418813    0.425172  0.00484962
          29    0.460566    0.426393  0.00483353
          30     0.38875    0.425138  0.00483253
