#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.936752   -0.936752           0
           2   -0.941256   -0.939004   0.0015924
           3   -0.943328   -0.940445  0.00158492
           4   -0.932296   -0.938408  0.00212745
           5   -0.928312   -0.936389  0.00248161
           6    -0.92676   -0.934784  0.00253433
           7   -0.924256    -0.93328  0.00258025
           8   -0.930576   -0.932942  0.00227975
           9   -0.934264   -0.933089  0.00203117
          10   -0.934272   -0.933207  0.00183149
          11   -0.935608   -0.933425  0.00167795
          12    -0.93764   -0.933777  0.00157445
          13   -0.931024   -0.933565   0.0014675
          14   -0.931312   -0.933404  0.00137148
          15   -0.936432   -0.933606  0.00129482
          16   -0.929136   -0.933327  0.00124366
          17    -0.93672   -0.933526  0.00118642
          18   -0.937952   -0.933772   0.0011457
          19   -0.943208   -0.934269  0.00118818
          20   -0.935808   -0.934346  0.00113126
          21   -0.930784   -0.934176  0.00109003
          22    -0.92788    -0.93389  0.00107739
          23   -0.936992   -0.934025  0.00103896
          24   -0.935752   -0.934097 0.000998158
          25   -0.934736   -0.934122 0.000958559
          26   -0.940104   -0.934352 0.000948899
          27   -0.932264   -0.934275 0.000916902
          28   -0.930624   -0.934145 0.000893379
          29   -0.927616   -0.933919 0.000890485
          30    -0.93472   -0.933946 0.000861202
