#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.661592    0.661592           0
           2    0.667164    0.664378     0.00197
           3     0.29832    0.542359    0.099637
           4    0.584504    0.552895   0.0752828
           5     0.65914    0.574144   0.0631539
           6     0.62666    0.582897   0.0532313
           7    0.544064    0.577349    0.045915
           8     0.61228    0.581716   0.0403827
           9    0.551196    0.578324   0.0360378
          10    0.605924    0.581084   0.0325396
          11    0.788152    0.599909   0.0346006
          12    0.654408     0.60445   0.0320139
          13    0.658596    0.608615    0.029821
          14    0.686628    0.614188   0.0282067
          15    0.643396    0.616135   0.0263934
          16      0.7496    0.624477   0.0260286
          17    0.708104    0.629396   0.0249581
          18    0.785908    0.638091   0.0250404
          19     0.67756    0.640168   0.0238085
          20    0.755604     0.64594   0.0233072
          21    0.709148     0.64895   0.0223908
          22    0.551352    0.644514   0.0218081
          23    0.644412    0.644509   0.0208599
          24    0.732692    0.648184   0.0203118
          25    0.632816    0.647569   0.0195086
          26    0.654888     0.64785   0.0187603
          27    0.584996    0.645522   0.0182093
          28    0.695992    0.647325    0.017648
          29    0.681216    0.648494   0.0170781
          30    0.661992    0.648943   0.0165148
