#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     46.4545     46.4545           0
           2     49.9739     48.2142     1.24433
           3     50.3273     48.9186     1.00941
           4     40.8889     46.9112     1.89617
           5     39.0215     45.3332     2.07195
           6     39.6659     44.3887     1.92995
           7     37.2824     43.3735      1.9026
           8     40.9092     43.0654     1.68953
           9     42.9533      43.053     1.50185
          10     42.4546     42.9931     1.35286
          11     45.7392     43.2428     1.25269
          12     45.5246     43.4329     1.16264
          13     43.3338     43.4253     1.07323
          14     39.8497     43.1699     1.02651
          15     47.3698     43.4499    0.995533
          16     37.6678     43.0885    0.996748
          17     46.2578     43.2749    0.955391
          18     46.2018     43.4376    0.916046
          19     50.6302     43.8161    0.942815
          20      45.133      43.882     0.89797
          21     40.9921     43.7443    0.865689
          22     39.5946     43.5557     0.84664
          23     48.1719     43.7564    0.833279
          24      45.035     43.8097     0.80026
          25     43.5468     43.7992    0.768319
          26      47.493     43.9413    0.751789
          27     43.2664     43.9163     0.72436
          28     42.2781     43.8578    0.700849
          29     40.5755     43.7446     0.68576
          30     41.9459     43.6846    0.665517
