# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    171   5.03829      0.0262106         0.4912
    172   5.03741      0.0260734         0.5044
    173   5.03767      0.0259245         0.5236
    174   5.03855      0.0257907         0.4948
    175   5.03646      0.0257283         0.4872
    176   5.03447      0.0256596         0.4728
    177   5.03333      0.0255408         0.4844
    178   5.03419      0.0254122          0.504
    179   5.03439      0.0252715         0.4908
    180   5.03261      0.0251944          0.478
    181   5.03344      0.0250693         0.4936
    182   5.03132      0.0250219         0.4976
    183   5.03188      0.0248917         0.5008
    184   5.03178       0.024757         0.5172
    185   5.03232      0.0246294         0.4916
    186   5.03236      0.0244973         0.4912
    187   5.03322      0.0243818         0.5088
    188   5.03283      0.0242555           0.47
    189   5.03283      0.0241275           0.48
    190   5.03192      0.0240183         0.4944
    191   5.03158      0.0238952         0.4832
    192   5.03085      0.0237823         0.5028
    193   5.02977      0.0236841         0.4888
    194   5.02983      0.0235624         0.5184
    195   5.03086      0.0234644         0.5016
    196   5.03105      0.0233457         0.4956
    197   5.02926      0.0232964         0.4808
    198   5.02878      0.0231839          0.512
    199   5.02721       0.023121         0.4728
    200   5.02624      0.0230264         0.4928
    201   5.02656      0.0229143         0.4852
    202   5.02657      0.0228011         0.5076
    203   5.02738      0.0227033         0.4856
    204   5.02663      0.0226048         0.4988
    205   5.02713      0.0225003         0.5116
    206   5.02768      0.0223983         0.5132
    207   5.02882      0.0223195         0.5108
    208   5.02822      0.0222207          0.504
    209   5.02802      0.0221155         0.4936
    210   5.02797      0.0220105         0.4964
    211   5.02749      0.0219117         0.5064
    212   5.02604      0.0218572         0.4832
    213   5.02641      0.0217581            0.5
    214   5.02555      0.0216741         0.5208
    215   5.02499      0.0215806         0.4964
    216    5.0242      0.0214954         0.4928
    217   5.02467      0.0214016         0.5032
    218   5.02444      0.0213049         0.4912
    219   5.02304       0.021254          0.502
    220   5.02509      0.0212566          0.504
    221    5.0254      0.0211631         0.5044
    222   5.02429      0.0210973         0.4952
    223   5.02537      0.0210304          0.514
    224   5.02613      0.0209508         0.4888
    225   5.02646      0.0208605           0.51
    226   5.02659      0.0207688         0.4892
    227    5.0265      0.0206777          0.478
    228   5.02793      0.0206367         0.4992
    229   5.02846      0.0205535         0.5004
    230   5.02811      0.0204673         0.4788
    231   5.02817      0.0203789         0.5304
    232   5.02812      0.0202914          0.484
    233   5.02797       0.020205          0.498
    234   5.02683      0.0201509         0.4892
    235   5.02673      0.0200656         0.4988
    236   5.02705      0.0199833         0.4972
    237   5.02956      0.0200563           0.52
    238   5.02983       0.019974         0.4808
    239   5.02981      0.0198906         0.4912
    240   5.02949      0.0198104         0.5084
    241   5.02877      0.0197418         0.4868
    242   5.02793      0.0196782         0.4784
    243   5.02855      0.0196072         0.4852
    244    5.0284      0.0195276         0.4988
    245   5.02864      0.0194495          0.502
    246   5.02928      0.0193811         0.5248
    247   5.02873      0.0193106          0.516
    248   5.02774      0.0192582         0.4928
    249   5.02717      0.0191895         0.4936
    250   5.02626      0.0191349         0.4852
    251   5.02624      0.0190588          0.496
    252   5.02604      0.0189844         0.4976
    253   5.02594      0.0189097         0.4988
    254   5.02637      0.0188404         0.5076
    255   5.02571      0.0187782         0.4988
    256   5.02639      0.0187171         0.4988
    257    5.0268      0.0186491         0.5132
    258   5.02645      0.0185804          0.492
    259   5.02567       0.018525         0.4904
    260    5.0259      0.0184552         0.4956
    261   5.02559      0.0183873         0.4904
    262   5.02472      0.0183379          0.486
    263   5.02448      0.0182698         0.4988
    264   5.02383      0.0182121         0.5028
    265   5.02424      0.0181481         0.5092
    266   5.02352      0.0180944          0.482
    267   5.02286      0.0180388          0.486
    268   5.02291      0.0179717         0.4868
    269   5.02334      0.0179103         0.5136
    270   5.02278      0.0178528         0.4844
    271   5.02348      0.0178006         0.4848
    272   5.02206      0.0177917          0.512
    273   5.02238      0.0177294         0.5204
    274   5.02316      0.0176825           0.48
    275   5.02297      0.0176193         0.4936
    276    5.0228      0.0175565         0.5028
    277   5.02221      0.0175031           0.49
    278   5.02176       0.017446          0.496
    279   5.02125      0.0173911         0.4708
    280   5.02054      0.0173435          0.488
    281   5.01936      0.0173225         0.4712
    282   5.01942      0.0172613          0.486
    283   5.01943      0.0172004         0.4968
    284   5.01935      0.0171402         0.4956
    285   5.01974      0.0170847         0.5068
    286   5.01901      0.0170407         0.4916
    287   5.01804      0.0170089         0.4972
    288   5.01825      0.0169512         0.5176
    289   5.01847      0.0168941          0.514
    290   5.01766      0.0168554         0.5036
    291   5.01782      0.0167984         0.4952
    292   5.01794      0.0167414          0.508
    293   5.01739      0.0166934         0.5132
    294   5.01697      0.0166422         0.4812
    295   5.01614      0.0166063         0.4684
    296   5.01623      0.0165506         0.5048
    297   5.01679      0.0165043           0.49
    298   5.01567      0.0164872         0.5008
    299    5.0146      0.0164667         0.5004
    300   5.01351      0.0164478           0.46
    301   5.01317      0.0163969         0.5044
    302   5.01292      0.0163446          0.508
    303   5.01186      0.0163252         0.4924
    304   5.01284      0.0163012         0.5248
    305   5.01285      0.0162479         0.5172
    306   5.01304       0.016196          0.502
    307   5.01185      0.0161873         0.4796
    308   5.01229      0.0161409          0.488
    309   5.01161      0.0161031         0.5064
    310    5.0113      0.0160542         0.4972
    311   5.01128      0.0160027          0.508
    312   5.01124      0.0159515         0.4904
    313   5.01071      0.0159093         0.4876
    314   5.01094      0.0158603          0.512
    315   5.00983      0.0158489           0.49
    316   5.01152        0.01589          0.514
    317   5.01114      0.0158446         0.4992
    318   5.01083      0.0157979         0.5096
    319   5.01052      0.0157514         0.4996
    320   5.01002      0.0157104         0.5092
    321   5.00918      0.0156839         0.4828
    322    5.0095      0.0156385           0.51
    323   5.00903       0.015597         0.4596
    324   5.00985      0.0155706         0.5076
    325   5.01012      0.0155251            0.5
    326   5.00925      0.0155024         0.4808
    327   5.00986      0.0154672         0.4944
    328   5.01047       0.015432         0.5104
    329    5.0105      0.0153852         0.5056
    330   5.01092      0.0153444         0.4872
    331   5.01076      0.0152989         0.4968
    332   5.01086      0.0152532         0.4892
    333   5.01026      0.0152193         0.4756
    334   5.01037      0.0151742         0.4984
    335   5.01053      0.0151298         0.4976
    336   5.01047      0.0150849          0.498
    337   5.01045      0.0150403          0.488
    338   5.00985      0.0150081         0.4748
    339   5.00896      0.0149902         0.4964
    340   5.00938      0.0149521         0.5016
    341   5.00954      0.0149092         0.4796
    342   5.00936      0.0148668         0.4772
    343   5.00851      0.0148476         0.4924
    344   5.00899      0.0148122         0.4992
    345   5.00793      0.0148074         0.4776
    346   5.00799      0.0147648         0.5076
    347   5.00874      0.0147411         0.4976
    348   5.00803      0.0147155         0.4864
    349   5.00789      0.0146741         0.4796
    350   5.00817      0.0146349          0.498
    351   5.00768      0.0146014         0.4944
    352   5.00731      0.0145649         0.4792
    353   5.00789      0.0145354         0.5024
    354   5.00799      0.0144947         0.4876
    355   5.00737      0.0144672         0.4872
    356    5.0071      0.0144291          0.514
    357   5.00673      0.0143937         0.4956
    358   5.00616      0.0143646          0.474
    359   5.00558      0.0143364         0.4824
    360    5.0066      0.0143329         0.5224
    361   5.00766      0.0143323         0.5204
    362   5.00709      0.0143043         0.4816
    363   5.00702      0.0142651         0.4828
    364   5.00631      0.0142436         0.4904
    365   5.00656      0.0142067         0.4824
    366    5.0063      0.0141703         0.5156
    367   5.00564      0.0141471          0.492
    368   5.00626      0.0141224         0.5164
    369   5.00627      0.0140842         0.4984
    370    5.0068      0.0140563            0.5
    371   5.00701        0.01402          0.494
    372   5.00639      0.0139962         0.4908
    373   5.00598      0.0139649          0.488
    374   5.00752      0.0140128         0.5192
    375   5.00678      0.0139952            0.5
    376   5.00653      0.0139603         0.4988
    377   5.00702      0.0139321         0.4856
    378   5.00674      0.0138982         0.4764
    379   5.00681      0.0138618         0.5068
    380   5.00599      0.0138494         0.5064
    381   5.00479      0.0138654          0.464
    382   5.00413      0.0138448          0.482
    383   5.00362      0.0138181         0.4916
    384   5.00409      0.0137903          0.498
    385   5.00467      0.0137666          0.512
    386   5.00477      0.0137313         0.4792
    387   5.00445      0.0136996          0.494
    388   5.00453      0.0136646         0.4964
    389   5.00486      0.0136335         0.4912
    390   5.00393      0.0136308         0.4928
    391   5.00419      0.0135985         0.4992
    392   5.00465      0.0135717         0.5108
    393   5.00518      0.0135476         0.5108
    394     5.005      0.0135145         0.5064
    395   5.00549      0.0134892         0.5156
    396   5.00555      0.0134553         0.5156
    397   5.00508      0.0134296          0.502
    398   5.00479       0.013399         0.4828
    399   5.00458      0.0133671           0.49
