# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    174   1.55121      0.0518165         0.4856
    175    1.5504      0.0515277         0.4592
    176   1.54968      0.0512407         0.4576
    177   1.54905       0.050956         0.4704
    178   1.54906      0.0506705          0.472
    179   1.54874      0.0503892         0.4708
    180   1.54815      0.0501135         0.4784
    181   1.54776      0.0498389         0.4756
    182   1.54721      0.0495689         0.4708
    183   1.54661      0.0493024         0.4588
    184   1.54635      0.0490359          0.482
    185   1.54576      0.0487751         0.4624
    186   1.54563      0.0485138         0.4836
    187   1.54545      0.0482553         0.4768
    188   1.54548      0.0479993          0.454
    189   1.54499      0.0477486         0.4568
    190   1.54461      0.0474994         0.4584
    191   1.54432      0.0472523          0.476
    192   1.54442      0.0470069         0.4872
    193   1.54434      0.0467641         0.4924
    194    1.5443      0.0465237         0.4876
    195   1.54425      0.0462857         0.4776
    196   1.54372      0.0460532         0.4584
    197   1.54331      0.0458218         0.4816
    198   1.54286      0.0455932         0.4804
    199   1.54264      0.0453652         0.4768
    200   1.54244      0.0451394         0.4748
    201   1.54273      0.0449164         0.4736
    202   1.54274      0.0446945         0.4972
    203   1.54255      0.0444753         0.4792
    204    1.5419      0.0442625         0.4708
    205    1.5422      0.0440481         0.4908
    206   1.54198      0.0438353         0.4796
    207   1.54191      0.0436241         0.4848
    208   1.54177      0.0434151         0.4828
    209   1.54164      0.0432081          0.478
    210   1.54122      0.0430048          0.474
    211   1.54111      0.0428017         0.4956
    212   1.54053      0.0426042          0.458
    213   1.54042      0.0424048         0.4796
    214   1.54004      0.0422088         0.4724
    215   1.53958      0.0420155         0.4808
    216   1.53943      0.0418217          0.482
    217   1.53912      0.0416306          0.478
    218    1.5395      0.0414418         0.5124
    219   1.53918      0.0412542         0.4856
    220   1.53967        0.04107         0.4744
    221   1.53966      0.0408846         0.4808
    222   1.53923       0.040703         0.4668
    223   1.53956      0.0405222         0.4856
    224   1.53988       0.040343         0.4684
    225    1.5397      0.0401645           0.48
    226   1.53933       0.039989          0.458
    227    1.5388      0.0398167         0.4604
    228   1.53969      0.0396525         0.4808
    229   1.53951      0.0394801          0.468
    230   1.53931      0.0393093         0.4628
    231   1.53873      0.0391438         0.4868
    232   1.53859      0.0389757         0.4924
    233   1.53821      0.0388107         0.4644
    234   1.53838      0.0386456         0.4844
    235   1.53849      0.0384816         0.4944
    236   1.53851      0.0383189         0.4752
    237   1.53833       0.038158         0.4864
    238   1.53828      0.0379981         0.4824
    239   1.53875      0.0378424         0.4892
    240   1.53842      0.0376865         0.4784
    241   1.53798       0.037533         0.4636
    242   1.53765      0.0373797         0.4752
    243   1.53738      0.0372271          0.458
    244    1.5376      0.0370755         0.4812
    245    1.5373      0.0369258         0.4744
    246   1.53762      0.0367774         0.4936
    247   1.53781      0.0366293         0.5048
    248   1.53779      0.0364819         0.4644
    249    1.5375      0.0363368          0.484
    250   1.53707      0.0361943         0.4644
    251   1.53666      0.0360528         0.4704
    252   1.53643      0.0359108         0.4728
    253   1.53603      0.0357712         0.4816
    254   1.53612      0.0356308         0.4812
    255   1.53555      0.0354958         0.4624
    256   1.53538      0.0353578          0.472
    257   1.53523      0.0352208         0.4616
    258   1.53499      0.0350854         0.4724
    259   1.53459      0.0349525         0.4584
    260   1.53451      0.0348184         0.4664
    261   1.53405      0.0346884         0.4648
    262   1.53324      0.0345656         0.4576
    263   1.53301      0.0344352         0.4536
    264   1.53274      0.0343061         0.4712
    265   1.53251      0.0341776         0.4868
    266   1.53211      0.0340517         0.4644
    267   1.53192       0.033925         0.4976
    268   1.53189      0.0337986         0.4824
    269   1.53223       0.033675         0.4968
    270   1.53208      0.0335508          0.464
    271   1.53224      0.0334276           0.47
    272   1.53166      0.0333101         0.4828
    273   1.53185      0.0331889         0.4888
    274   1.53179       0.033068          0.468
    275   1.53181       0.032948         0.4848
    276     1.532      0.0328293         0.4964
    277   1.53188      0.0327112         0.4616
    278   1.53147      0.0325964         0.4752
    279   1.53098      0.0324834         0.4532
    280   1.53092      0.0323677         0.4704
    281   1.53053       0.032255         0.4712
    282    1.5305      0.0321408         0.4644
    283   1.53018      0.0320291         0.4664
    284   1.53019      0.0319165         0.5072
    285   1.52994      0.0318056         0.4784
    286   1.52956      0.0316969         0.4752
    287   1.52932      0.0315876         0.4712
    288   1.52952      0.0314788         0.5004
    289   1.52935      0.0313705         0.4756
    290   1.52893      0.0312653         0.4704
    291   1.52842      0.0311622          0.468
    292   1.52852      0.0310558         0.4844
    293   1.52819      0.0309517         0.4744
    294   1.52783      0.0308488         0.4772
    295   1.52712      0.0307525         0.4484
    296   1.52724      0.0306489          0.492
    297   1.52708      0.0305463         0.4664
    298   1.52642      0.0304512         0.4716
    299   1.52614      0.0303508         0.4736
    300   1.52548       0.030257         0.4468
    301   1.52523      0.0301577         0.4968
    302   1.52512      0.0300582         0.4668
    303   1.52472      0.0299618         0.4784
    304   1.52473      0.0298634         0.4708
    305   1.52483      0.0297658         0.4952
    306   1.52465      0.0296693          0.466
    307   1.52444      0.0295735         0.4768
    308   1.52463      0.0294783         0.4744
    309   1.52447      0.0293835         0.4812
    310   1.52421        0.02929          0.494
    311   1.52446      0.0291971         0.4832
    312   1.52414      0.0291054         0.4596
    313   1.52396      0.0290131         0.4656
    314   1.52395      0.0289209         0.4908
    315   1.52389      0.0288293          0.476
    316   1.52434      0.0287418         0.4828
    317   1.52418      0.0286518         0.4636
    318   1.52408       0.028562         0.4736
    319   1.52377      0.0284743         0.4684
    320   1.52333      0.0283889         0.4892
    321   1.52305      0.0283019         0.4496
    322   1.52325      0.0282149           0.49
    323    1.5229      0.0281298         0.4552
    324   1.52305      0.0280435         0.4752
    325   1.52303      0.0279573         0.4736
    326   1.52283      0.0278724         0.4764
    327   1.52301      0.0277879         0.4788
    328   1.52312      0.0277035         0.4888
    329   1.52286      0.0276207         0.4848
    330    1.5226      0.0275383         0.4768
    331   1.52261      0.0274552          0.466
    332   1.52237      0.0273736          0.474
    333   1.52216      0.0272924         0.4648
    334   1.52232      0.0272113         0.4868
    335   1.52264       0.027132         0.4872
