# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    169   1.50094     0.00599291         0.4652
    170   1.50075     0.00596078          0.476
    171    1.5004     0.00593624         0.4632
    172   1.50162     0.00602592          0.514
    173   1.50128     0.00600104         0.4912
    174   1.50091     0.00597821         0.4804
    175   1.50045     0.00596195         0.4852
    176   1.50086     0.00594238         0.5068
    177   1.50016     0.00594926         0.4668
    178   1.50024     0.00591638         0.4816
    179   1.50152      0.0060206         0.5096
    180   1.50183     0.00599572         0.4828
    181   1.50146     0.00597445         0.4736
    182   1.50242     0.00601885         0.5036
    183   1.50261     0.00598914         0.4772
    184   1.50273     0.00595787           0.47
    185   1.50293     0.00592901           0.49
    186   1.50312     0.00590035         0.4844
    187   1.50248     0.00590328         0.4592
    188   1.50189      0.0059022         0.4536
    189   1.50175      0.0058727         0.4836
    190   1.50109     0.00587902         0.4708
    191   1.50128     0.00585157         0.4848
    192   1.50116     0.00582245         0.4776
    193   1.50126     0.00579314         0.4908
    194   1.50139     0.00576487         0.4908
    195   1.50209      0.0057786          0.486
    196   1.50204     0.00574949          0.476
    197   1.50186     0.00572323         0.4776
    198   1.50196     0.00569539           0.51
    199   1.50171     0.00567265          0.484
    200   1.50177     0.00564471         0.4788
    201   1.50152     0.00562203         0.4708
    202    1.5015      0.0055943         0.4796
    203   1.50132     0.00556974         0.4728
    204   1.50076       0.005571         0.4668
    205   1.50024     0.00556847          0.462
    206   1.50098     0.00559108         0.4936
    207   1.50052     0.00558277         0.4824
    208   1.50029     0.00556111         0.4892
    209   1.49958     0.00557881         0.4556
    210   1.49974     0.00555459         0.4944
    211   1.49958     0.00553086          0.478
    212   1.49981     0.00550969          0.466
    213   1.50023     0.00549977         0.5032
    214   1.50029      0.0054745         0.4916
    215   1.49955     0.00549831         0.4764
    216   1.49946     0.00547369         0.4936
    217   1.49937     0.00544929         0.4976
    218   1.49986     0.00544676         0.5048
    219   1.49967     0.00542527         0.4832
    220   1.49999     0.00540993         0.4812
    221   1.50013     0.00538737         0.4932
    222   1.49988     0.00536923         0.4696
    223   1.49946     0.00536175         0.4672
    224   1.50013     0.00538007         0.5016
    225   1.50157     0.00554554         0.5128
    226   1.50188     0.00553013         0.4952
    227   1.50161     0.00551273         0.4664
    228    1.5011     0.00551175         0.4888
    229   1.50087     0.00549285         0.4704
    230   1.50153     0.00550956         0.4888
    231   1.50115     0.00549878          0.484
    232   1.50103     0.00547659         0.4728
    233   1.50055      0.0054736         0.4656
    234    1.5003     0.00545627         0.4728
    235   1.50082     0.00545816         0.5064
    236   1.50065     0.00543787         0.4948
    237   1.50058     0.00541544         0.4856
    238   1.50038     0.00539625          0.482
    239   1.50061     0.00537855         0.4872
    240   1.50063     0.00535622         0.4936
    241   1.50063     0.00533404          0.496
    242    1.5012     0.00534192         0.5136
    243    1.5009     0.00532834         0.4772
    244   1.50182     0.00538622         0.5144
    245   1.50194     0.00536551         0.4768
    246   1.50208     0.00534567         0.4976
    247   1.50225     0.00532672         0.5068
    248   1.50176      0.0053278         0.4512
    249   1.50136     0.00532149          0.464
    250   1.50162     0.00530651         0.4768
    251   1.50121     0.00530111         0.4556
    252   1.50212     0.00535863         0.4952
    253   1.50237     0.00534346          0.474
    254   1.50271     0.00533319          0.498
    255   1.50273     0.00531234         0.4804
    256   1.50247     0.00529775         0.4812
    257   1.50277      0.0052856         0.4892
    258   1.50257     0.00526873          0.464
    259   1.50247     0.00524953         0.4852
    260   1.50225      0.0052338          0.472
