# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    170     5.007      0.0151782          0.522
    171   5.00553      0.0151617         0.5052
    172   5.00715      0.0151606         0.5116
    173   5.00757      0.0150791         0.5352
    174    5.0054       0.015149         0.5148
    175   5.00581      0.0150683         0.5484
    176   5.00588      0.0149831         0.5108
    177   5.00444      0.0149684         0.5044
    178    5.0032      0.0149356         0.5044
    179   5.00471      0.0149285         0.5464
    180   5.00575      0.0148822         0.5204
    181   5.00554      0.0148018         0.5176
    182   5.00647      0.0147501         0.5264
    183   5.00494      0.0147488         0.4988
    184   5.00352      0.0147379          0.494
    185   5.00403      0.0146672         0.5256
    186   5.00397      0.0145887         0.5168
    187   5.00293      0.0145482         0.4944
    188    5.0022      0.0144897         0.5132
    189   5.00228      0.0144135         0.5444
    190   5.00019      0.0144899         0.4768
    191   5.00074       0.014425         0.5156
    192   5.00036      0.0143551         0.5208
    193   5.00137      0.0143165         0.5324
    194   5.00097      0.0142486         0.5176
    195   5.00215       0.014225          0.512
    196   5.00148      0.0141684          0.508
    197   5.00238      0.0141251         0.5364
    198   5.00066      0.0141589          0.512
    199   5.00188      0.0141411         0.5384
    200    5.0011      0.0140925          0.496
    201   5.00142      0.0140263         0.5136
    202   5.00265      0.0140113         0.5156
    203   5.00228      0.0139475         0.5132
    204   5.00129      0.0139147         0.5084
    205   5.00062      0.0138632         0.5204
    206   5.00024      0.0138011         0.5112
    207   4.99892       0.013798         0.5104
    208   5.00065      0.0138397         0.5108
    209   4.99971      0.0138057         0.5036
    210    4.9998      0.0137404         0.5112
    211    4.9986      0.0137283         0.5168
    212   4.99824      0.0136685         0.5016
    213   5.00053      0.0137956         0.5232
    214   5.00092      0.0137371         0.5328
    215   4.99936       0.013763         0.5168
    216   4.99923         0.0137         0.5204
    217   4.99868      0.0136482         0.5104
    218   4.99964      0.0136197         0.5184
    219    4.9993      0.0135621         0.5232
    220   4.99935      0.0135007         0.5116
    221   4.99926        0.01344         0.5168
    222   4.99961      0.0133841         0.5176
    223   4.99924      0.0133295          0.506
    224   5.00113      0.0134042         0.5244
    225    5.0032      0.0135044          0.546
    226   5.00292      0.0134476            0.5
    227   5.00331      0.0133941         0.5252
    228   5.00266      0.0133511         0.5288
    229   5.00232      0.0132975         0.5088
    230   5.00259      0.0132428         0.5196
    231   5.00167      0.0132176         0.5212
    232    5.0006      0.0132044         0.5008
    233    5.0002      0.0131539         0.5016
    234   4.99863      0.0131919          0.498
    235   4.99898      0.0131405         0.5244
    236    4.9978      0.0131375         0.5128
    237   4.99731      0.0130914         0.5144
    238   4.99782      0.0130465         0.5096
    239   4.99729      0.0130029         0.5036
    240   4.99777      0.0129577         0.5196
    241   4.99729       0.012913         0.5184
    242   4.99854      0.0129209         0.5308
    243   4.99832      0.0128697         0.4948
    244   4.99903      0.0128367         0.5292
    245   4.99924      0.0127861         0.5112
    246   5.00018      0.0127689         0.5268
    247   5.00034      0.0127184         0.5124
    248   4.99979      0.0126791         0.5092
    249    4.9989      0.0126601          0.494
    250   4.99988      0.0126482         0.5192
    251   4.99924      0.0126145         0.4992
    252   5.00022      0.0126033         0.5204
    253   4.99996      0.0125564         0.5008
    254   5.00135      0.0125839         0.5236
    255   5.00234      0.0125737           0.53
    256   5.00239      0.0125247         0.5268
    257   5.00218      0.0124779         0.5084
    258    5.0021      0.0124298         0.5232
    259   5.00181      0.0123854         0.5184
    260    5.0011      0.0123581         0.5052
    261   5.00167      0.0123237          0.508
    262   5.00225      0.0122909         0.5168
    263   5.00237      0.0122448         0.5008
    264   5.00151       0.012229         0.5084
    265   5.00282      0.0122541         0.5256
    266   5.00238      0.0122161         0.5028
    267   5.00163      0.0121934         0.5108
    268    5.0024      0.0121723         0.5148
    269   5.00317      0.0121511          0.544
    270   5.00333      0.0121072         0.5092
    271   5.00312      0.0120644         0.5172
    272   5.00226      0.0120507         0.5052
    273   5.00179      0.0120159         0.4976
    274   5.00119      0.0119871            0.5
    275   5.00203      0.0119731         0.5132
    276   5.00296      0.0119662         0.5216
    277   5.00431      0.0119991         0.5268
    278   5.00487       0.011969         0.5128
    279   5.00516      0.0119297         0.5216
    280   5.00599      0.0119159         0.5084
    281   5.00534      0.0118909         0.5104
    282   5.00549      0.0118497         0.5092
    283   5.00607      0.0118224         0.5132
    284   5.00655      0.0117907         0.5392
    285    5.0063       0.011752         0.5264
    286   5.00693      0.0117279          0.514
    287   5.00562      0.0117607         0.5008
    288   5.00773      0.0119077         0.5264
    289   5.00729      0.0118744         0.4788
    290    5.0079      0.0118492         0.5152
    291   5.00746      0.0118168         0.5044
    292   5.00745      0.0117764         0.5288
    293   5.00788      0.0117442         0.5076
    294   5.00821      0.0117091         0.5216
    295    5.0086      0.0116757         0.5268
    296   5.00779       0.011664         0.5136
    297    5.0068      0.0116669         0.4828
    298   5.00633      0.0116376         0.5272
    299    5.0074      0.0116485         0.5228
    300   5.00678      0.0116261         0.5164
    301    5.0072       0.011595         0.5224
    302   5.00676       0.011565         0.5008
    303    5.0076      0.0115577          0.518
    304   5.00749      0.0115203         0.5144
    305   5.00771      0.0114846         0.5172
    306   5.00723       0.011457         0.4936
    307   5.00688       0.011425         0.5212
    308   5.00862        0.01152          0.512
    309   5.00845       0.011484         0.5132
