#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05338     0.05338           0
           2    0.037108    0.045244  0.00575302
           3    0.030844    0.040444   0.0054836
           4    0.052176    0.043377  0.00483386
           5    0.056196   0.0459408  0.00449587
           6    0.032276   0.0436633  0.00428475
           7    0.023964   0.0408491  0.00450295
           8    0.051352    0.042162  0.00412703
           9    0.035924   0.0414689  0.00372622
          10    0.042012   0.0415232  0.00335399
          11    0.028864   0.0403724  0.00324052
          12    0.030708    0.039567  0.00306892
          13    0.036448   0.0393271  0.00284221
          14    0.029412   0.0386189  0.00272601
          15    0.056124   0.0397859  0.00278288
          16    0.029844   0.0391645  0.00267742
          17     0.04456   0.0394819  0.00253867
          18    0.046568   0.0398756  0.00242796
          19      0.0392     0.03984  0.00230044
          20    0.042132   0.0399546  0.00218827
          21    0.026372   0.0393078  0.00217755
          22    0.043688   0.0395069  0.00208766
          23     0.03554   0.0393344    0.002004
          24    0.035764   0.0391857  0.00192602
          25    0.048116   0.0395429  0.00188181
          26    0.043976   0.0397134  0.00181714
          27    0.038616   0.0396727  0.00175029
          28    0.046896   0.0399307  0.00170669
          29    0.031508   0.0396403  0.00167237
          30     0.03444   0.0394669  0.00162558
