#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.55468    -0.55468           0
           2    -0.55676    -0.55572 0.000735391
           3   -0.553904   -0.555115 0.000696162
           4   -0.549392   -0.553684  0.00134451
           5   -0.553184   -0.553584  0.00107932
           6   -0.555392   -0.553885  0.00094056
           7   -0.556392   -0.554243 0.000871701
           8    -0.55588   -0.554448 0.000786377
           9   -0.556128   -0.554635 0.000720816
          10   -0.554288     -0.5546 0.000649567
          11   -0.551664   -0.554333 0.000643019
          12   -0.552448   -0.554176  0.00060832
          13   -0.557312   -0.554417 0.000607476
          14   -0.557528   -0.554639 0.000603355
          15   -0.554216   -0.554611 0.000563792
          16   -0.552552   -0.554483 0.000543045
          17    -0.55276   -0.554381 0.000520468
          18    -0.55256    -0.55428 0.000501291
          19    -0.55616   -0.554379 0.000484574
          20   -0.552992    -0.55431 0.000465281
          21   -0.555696   -0.554376 0.000447784
          22   -0.553672   -0.554344 0.000428571
          23   -0.555696   -0.554402 0.000413951
          24   -0.556712   -0.554499 0.000407736
          25   -0.555544    -0.55454 0.000393564
          26   -0.553448   -0.554498 0.000380664
          27   -0.555144   -0.554522 0.000367315
          28   -0.556624   -0.554597 0.000361784
          29    -0.55272   -0.554533 0.000355054
          30   -0.552688   -0.554471 0.000348503
