#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.23982     2.23982           0
           2     2.24103     2.24042   0.0004278
           3     2.21811     2.23299  0.00608007
           4     2.08924     2.19705   0.0314554
           5     2.24967     2.20757   0.0268676
           6     2.13985     2.19629   0.0246472
           7     2.16387     2.19165   0.0215569
           8     2.16554     2.18839   0.0191078
           9       2.195     2.18912   0.0169988
          10     2.23095     2.19331    0.015805
          11     2.11293       2.186   0.0159679
          12     2.12373     2.18081   0.0154576
          13     2.12407     2.17645    0.014872
          14     2.21508     2.17921   0.0140634
          15     2.17274     2.17877   0.0131325
          16     2.23612     2.18236   0.0127915
          17     2.24242     2.18589   0.0125174
          18     2.21269     2.18738   0.0119102
          19     2.18593      2.1873   0.0112836
          20     2.16337     2.18611   0.0107826
          21     2.16255     2.18499   0.0103273
          22     2.12572     2.18229   0.0102032
          23     2.12801     2.17993   0.0100288
          24     2.29079     2.18455   0.0106217
          25     2.15824      2.1835   0.0102488
          26     2.15922     2.18257  0.00989706
          27     2.24115     2.18473  0.00976546
          28     2.16077     2.18388  0.00945415
          29     2.23328     2.18558  0.00928034
          30     2.18342     2.18551  0.00897128
