#   N_BLOCK:  ACCEPTANCE:
           1    0.445094
           2     0.44446
           3    0.444693
           4    0.446076
           5    0.446321
           6    0.446014
           7    0.445887
           8    0.445907
           9    0.445762
          10    0.445812
          11    0.446016
          12    0.446079
          13    0.445924
          14    0.445733
          15    0.445685
          16    0.445758
          17    0.445832
          18    0.445914
          19    0.445792
          20    0.445751
          21    0.445683
          22    0.445729
          23     0.44565
          24    0.445591
          25     0.44559
          26    0.445606
          27    0.445591
          28    0.445566
          29    0.445634
          30    0.445661
