#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.049612    0.049612           0
           2    0.052552    0.051082  0.00103945
           3    0.036484    0.046216  0.00403305
           4    0.041904    0.045138  0.00316558
           5    0.041204   0.0443512  0.00262843
           6    0.050076   0.0453053  0.00235718
           7    0.042284   0.0448737  0.00205958
           8    0.058428    0.046568  0.00239989
           9    0.046092   0.0465151  0.00213381
          10    0.044992   0.0463628  0.00192586
          11    0.030112   0.0448855  0.00224708
          12     0.03846     0.04435  0.00212266
          13    0.042336   0.0441951  0.00196503
          14    0.054244   0.0449129  0.00195136
          15     0.04944   0.0452147  0.00184446
          16    0.033116   0.0444585   0.0018778
          17    0.029068   0.0435532  0.00197355
          18    0.045352   0.0436531  0.00186644
          19    0.048148   0.0438897  0.00178313
          20    0.037828   0.0435866  0.00171954
          21    0.044968   0.0436524  0.00163892
          22     0.03512   0.0432645  0.00160965
          23    0.032672    0.042804   0.0016042
          24    0.046004   0.0429373  0.00154289
          25    0.039532   0.0428011  0.00148718
          26    0.042016   0.0427709  0.00143028
          27    0.036336   0.0425326  0.00139703
          28    0.030848   0.0421153  0.00140808
          29    0.046944   0.0422818  0.00136933
          30    0.036872   0.0421015  0.00133551
