#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.220555    0.220555           0
           2    0.217076    0.218816  0.00122994
           3    0.215486    0.217706  0.00122211
           4    0.215068    0.217046  0.00107987
           5    0.217465     0.21713 0.000867137
           6    0.208445    0.215683  0.00150604
           7    0.209135    0.214747  0.00155445
           8    0.208852     0.21401  0.00152482
           9    0.208299    0.213376  0.00148158
          10    0.209639    0.213002  0.00137975
          11    0.210017    0.212731  0.00128073
          12    0.219676    0.213309  0.00129821
          13     0.21703    0.213596  0.00122949
          14    0.205284    0.213002    0.001277
          15    0.211614    0.212909  0.00119521
          16    0.219685    0.213333  0.00119318
          17    0.214379    0.213394  0.00112458
          18    0.212007    0.213317  0.00106474
          19    0.215251    0.213419  0.00101356
          20    0.214291    0.213463 0.000963816
          21    0.213932    0.213485 0.000918178
          22    0.208271    0.213248 0.000906512
          23    0.214639    0.213309 0.000869113
          24    0.211616    0.213238 0.000835757
          25    0.210624    0.213133 0.000808843
          26    0.212008     0.21309  0.00077889
          27    0.210619    0.212999   0.0007554
          28    0.210521     0.21291 0.000733584
          29    0.209606    0.212796 0.000717083
          30    0.217811    0.212963 0.000712397
