#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.46491     1.46491           0
           2     1.52647     1.49569   0.0217625
           3     1.52286     1.50475    0.016284
           4     1.48614      1.5001     0.01286
           5     1.49923     1.49992   0.0102892
           6     1.50613     1.50096  0.00862618
           7     1.52117     1.50385  0.00786253
           8     1.43773     1.49558   0.0103486
           9     1.39749     1.48468   0.0137912
          10     1.49992     1.48621   0.0124959
          11     1.49599      1.4871   0.0113915
          12     1.46987     1.48566   0.0105323
          13     1.52144     1.48841   0.0100752
          14     1.51206      1.4901   0.0094961
          15      1.5165     1.49186   0.0090246
          16     1.47528     1.49082  0.00851982
          17      1.5284     1.49304  0.00830042
          18     1.49952      1.4934  0.00784709
          19     1.52124     1.49486  0.00756968
          20     1.47196     1.49372  0.00727729
          21     1.46581     1.49239  0.00705099
          22     1.49296     1.49241  0.00673054
          23     1.53333     1.49419  0.00666888
          24      1.4901     1.49402  0.00639319
          25     1.44711     1.49214  0.00640696
          26     1.46782     1.49121  0.00622848
          27     1.53177     1.49271  0.00617629
          28     1.48288     1.49236  0.00596567
          29      1.4653     1.49143  0.00583249
          30     1.52341     1.49249  0.00573469
