#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.042056    0.042056           0
           2    0.027288    0.034672  0.00522128
           3     0.02482    0.031388  0.00439387
           4    0.037696    0.032965  0.00356719
           5     0.04532    0.035436  0.00360951
           6    0.023984   0.0335273  0.00347613
           7    0.018288   0.0313503  0.00359724
           8    0.038616   0.0322585  0.00326022
           9     0.02524   0.0314787  0.00298978
          10     0.02814   0.0311448  0.00270938
          11    0.018608   0.0300051  0.00269214
          12    0.022708    0.029397  0.00253554
          13    0.027816   0.0292754  0.00234341
          14    0.031596   0.0294411  0.00218188
          15    0.048024     0.03068  0.00236209
          16    0.027496    0.030481  0.00222282
          17     0.03652   0.0308362  0.00212026
          18    0.038552   0.0312649  0.00204534
          19    0.032232   0.0313158  0.00193833
          20    0.037756   0.0316378  0.00186797
          21      0.0203   0.0310979   0.0018554
          22    0.029168   0.0310102  0.00177314
          23    0.031696     0.03104  0.00169629
          24      0.0215   0.0306425  0.00167154
          25    0.039348   0.0309907  0.00164055
          26    0.035172   0.0311515  0.00158531
          27    0.031676    0.031171  0.00152672
          28    0.032212   0.0312081  0.00147264
          29    0.027772   0.0310897  0.00142662
          30    0.021696   0.0307765  0.00141301
