#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -5.43658    -5.44098  0.00224631
         153    -5.43665    -5.44095  0.00223181
         154    -5.43705    -5.44092  0.00221746
         155    -5.43807    -5.44091  0.00220323
         156    -5.43812    -5.44089  0.00218918
         157    -5.43816    -5.44087   0.0021753
         158    -5.43819    -5.44085   0.0021616
         159     -5.4382    -5.44084  0.00214807
         160    -5.43821    -5.44082  0.00213471
         161    -5.43756     -5.4408  0.00212155
         162    -5.43755    -5.44078  0.00210855
         163    -5.43657    -5.44075  0.00209577
         164    -5.43622    -5.44073  0.00208317
         165    -5.43587     -5.4407  0.00207075
         166    -5.43583    -5.44067  0.00205849
         167    -5.43546    -5.44064   0.0020464
         168    -5.43541    -5.44061  0.00203445
         169    -5.43535    -5.44057  0.00202265
         170    -5.43561    -5.44055  0.00201097
         171    -5.43554    -5.44052  0.00199942
         172    -5.43579    -5.44049  0.00198798
         173    -5.43539    -5.44046  0.00197671
         174    -5.43531    -5.44043  0.00196557
         175    -5.43522     -5.4404  0.00195456
         176    -5.43513    -5.44037  0.00194369
         177    -5.43504    -5.44034  0.00193294
         178    -5.43462    -5.44031  0.00192235
         179    -5.43452    -5.44028  0.00191188
         180    -5.43442    -5.44024  0.00190154
         181    -5.43432    -5.44021  0.00189131
         182    -5.43389    -5.44018  0.00188124
         183    -5.43411    -5.44014  0.00187125
         184      -5.434    -5.44011  0.00186138
         185    -5.43421    -5.44008  0.00185159
         186    -5.43411    -5.44005  0.00184192
         187    -5.43464    -5.44002  0.00183229
         188    -5.43453    -5.43999  0.00182278
         189    -5.43442    -5.43996  0.00181337
         190    -5.43432    -5.43993  0.00180407
         191    -5.43421     -5.4399  0.00179487
         192    -5.43377    -5.43987  0.00178581
         193    -5.43334    -5.43983  0.00177687
         194    -5.43324     -5.4398  0.00176804
         195    -5.43346    -5.43977  0.00175927
         196    -5.43303    -5.43973  0.00175063
         197    -5.43293     -5.4397  0.00174209
         198    -5.43218    -5.43966   0.0017337
         199    -5.43241    -5.43962  0.00172537
         200    -5.43231    -5.43959  0.00171713
         201     -5.4319    -5.43955  0.00170902
         202    -5.43181    -5.43951  0.00170098
         203    -5.43107    -5.43947  0.00169311
         204    -5.43098    -5.43943  0.00168532
         205     -5.4309    -5.43938  0.00167762
         206    -5.43114    -5.43934  0.00166995
         207    -5.43139    -5.43931  0.00166233
         208    -5.43131    -5.43927  0.00165478
         209    -5.43124    -5.43923  0.00164731
         210     -5.4315    -5.43919  0.00163987
         211    -5.43111    -5.43915  0.00163255
         212    -5.43169    -5.43912  0.00162523
         213    -5.43228    -5.43909  0.00161791
         214    -5.43222    -5.43905  0.00161067
         215    -5.43249    -5.43902  0.00160347
         216    -5.43212    -5.43899  0.00159636
         217    -5.43207    -5.43896  0.00158933
         218    -5.43235    -5.43893  0.00158232
         219    -5.43231     -5.4389  0.00157539
         220    -5.43227    -5.43887  0.00156851
         221    -5.43224    -5.43884   0.0015617
         222    -5.43221    -5.43881  0.00155495
         223    -5.43218    -5.43878  0.00154827
         224    -5.43215    -5.43875  0.00154164
         225    -5.43213    -5.43872  0.00153507
         226    -5.43178    -5.43869  0.00152858
         227    -5.43176    -5.43866  0.00152215
         228    -5.43207    -5.43863  0.00151575
         229    -5.43206     -5.4386   0.0015094
         230    -5.43205    -5.43857  0.00150311
         231    -5.43171    -5.43854   0.0014969
         232    -5.43236    -5.43852  0.00149068
         233    -5.43203    -5.43849  0.00148454
         234    -5.43235    -5.43846  0.00147843
         235    -5.43235    -5.43844  0.00147237
         236    -5.43268    -5.43841  0.00146633
         237    -5.43268    -5.43839  0.00146034
         238    -5.43301    -5.43837  0.00145438
         239    -5.43334    -5.43835  0.00144845
         240    -5.43368    -5.43833  0.00144255
         241    -5.43433    -5.43831  0.00143666
         242    -5.43402    -5.43829  0.00143083
         243    -5.43436    -5.43828  0.00142503
         244     -5.4347    -5.43826  0.00141927
         245    -5.43472    -5.43825  0.00141355
         246    -5.43506    -5.43823  0.00140786
         247    -5.43476    -5.43822  0.00140223
         248    -5.43478    -5.43821  0.00139664
         249    -5.43513    -5.43819  0.00139109
         250    -5.43516    -5.43818  0.00138558
         251    -5.43486    -5.43817  0.00138012
         252    -5.43488    -5.43815  0.00137471
         253    -5.43491    -5.43814  0.00136933
         254    -5.43526    -5.43813  0.00136399
         255    -5.43627    -5.43812  0.00135866
         256     -5.4363    -5.43812  0.00135337
         257    -5.43698    -5.43811  0.00134811
         258    -5.43636     -5.4381   0.0013429
         259    -5.43639     -5.4381  0.00133773
         260     -5.4361    -5.43809  0.00133261
         261    -5.43582    -5.43808  0.00132753
         262    -5.43618    -5.43807  0.00132249
         263    -5.43686    -5.43807  0.00131747
         264    -5.43722    -5.43807  0.00131248
         265    -5.43726    -5.43806  0.00130753
         266    -5.43762    -5.43806  0.00130262
         267    -5.43766    -5.43806  0.00129774
         268     -5.4377    -5.43806   0.0012929
         269    -5.43709    -5.43806   0.0012881
         270    -5.43713    -5.43805  0.00128333
         271    -5.43749    -5.43805   0.0012786
         272    -5.43753    -5.43805   0.0012739
         273    -5.43724    -5.43805  0.00126923
         274    -5.43728    -5.43804   0.0012646
         275    -5.43764    -5.43804  0.00126001
         276    -5.43768    -5.43804  0.00125544
         277    -5.43804    -5.43804  0.00125091
         278    -5.43808    -5.43804  0.00124641
