#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.16241    -6.82588   0.0532611
         153    -6.16796    -6.82158   0.0530863
         154     -6.1739    -6.81737   0.0529079
         155    -6.18054    -6.81327   0.0527259
         156    -6.18626    -6.80925   0.0525409
         157    -6.19202    -6.80532   0.0523531
         158     -6.1978    -6.80147   0.0521627
         159     -6.2036    -6.79771     0.05197
         160     -6.2094    -6.79403   0.0517751
         161    -6.21456    -6.79043   0.0515785
         162    -6.22036    -6.78692     0.05138
         163    -6.22517    -6.78347   0.0511802
         164     -6.2306     -6.7801   0.0509791
         165      -6.236     -6.7768   0.0507766
         166    -6.24169    -6.77358    0.050573
         167      -6.247    -6.77042   0.0503684
         168    -6.25259    -6.76734   0.0501628
         169    -6.25813    -6.76433   0.0499564
         170    -6.26392    -6.76138   0.0497491
         171    -6.26932    -6.75851   0.0495414
         172    -6.27496     -6.7557    0.049333
         173    -6.27989    -6.75295   0.0491245
         174    -6.28505    -6.75026   0.0489157
         175    -6.29013    -6.74763   0.0487068
         176    -6.29512    -6.74506   0.0484979
         177    -6.30001    -6.74254    0.048289
         178    -6.30449    -6.74008   0.0480804
         179    -6.30919    -6.73767    0.047872
         180    -6.31379    -6.73532   0.0476639
         181    -6.31828    -6.73301   0.0474562
         182    -6.32235    -6.73076   0.0472491
         183    -6.32696    -6.72855   0.0470424
         184    -6.33113    -6.72639   0.0468363
         185    -6.33552    -6.72428   0.0466308
         186    -6.33948    -6.72221   0.0464259
         187    -6.34398    -6.72019   0.0462217
         188    -6.34772    -6.71821   0.0460183
         189    -6.35136    -6.71627   0.0458157
         190    -6.35488    -6.71436    0.045614
         191    -6.35829     -6.7125   0.0454133
         192    -6.36127    -6.71067   0.0452136
         193    -6.36415    -6.70887    0.045015
         194    -6.36724    -6.70711   0.0448174
         195    -6.37055    -6.70539   0.0446208
         196    -6.37311    -6.70369   0.0444253
         197     -6.3759    -6.70203   0.0442309
         198    -6.37793    -6.70039   0.0440378
         199    -6.38085    -6.69879   0.0438458
         200    -6.38334    -6.69721   0.0436549
         201    -6.38541    -6.69566   0.0434653
         202    -6.38772    -6.69413   0.0432768
         203     -6.3893    -6.69263   0.0430897
         204    -6.39143    -6.69115   0.0429038
         205    -6.39348     -6.6897    0.042719
         206    -6.39578    -6.68828   0.0425355
         207      -6.398    -6.68687   0.0423531
         208    -6.39981    -6.68549    0.042172
         209    -6.40156    -6.68413   0.0419921
         210    -6.40356     -6.6828   0.0418134
         211    -6.40485    -6.68148   0.0416359
         212    -6.40705    -6.68019   0.0414597
         213    -6.40919    -6.67891   0.0412845
         214    -6.41063    -6.67766   0.0411106
         215    -6.41233    -6.67643   0.0409379
         216    -6.41334    -6.67521   0.0407665
         217    -6.41462    -6.67401   0.0405963
         218    -6.41619    -6.67283   0.0404273
         219    -6.41739    -6.67166   0.0402596
         220    -6.41855    -6.67051    0.040093
         221    -6.41968    -6.66937   0.0399277
         222    -6.42078    -6.66825   0.0397635
         223    -6.42184    -6.66715   0.0396005
         224    -6.42288    -6.66606   0.0394388
         225     -6.4239    -6.66498   0.0392782
         226    -6.42457    -6.66392   0.0391188
         227    -6.42555    -6.66287   0.0389605
         228    -6.42684    -6.66183   0.0388034
         229    -6.42779    -6.66081   0.0386474
         230    -6.42872     -6.6598   0.0384925
         231    -6.42933     -6.6588   0.0383388
         232     -6.4309    -6.65782   0.0381862
         233     -6.4315    -6.65685   0.0380346
         234    -6.43274    -6.65589   0.0378841
         235    -6.43366    -6.65495   0.0377347
         236     -6.4349    -6.65401   0.0375864
         237    -6.43583    -6.65309    0.037439
         238    -6.43708    -6.65219   0.0372927
         239    -6.43834    -6.65129   0.0371474
         240    -6.43962    -6.65041   0.0370031
         241    -6.44122    -6.64954   0.0368598
         242    -6.44188    -6.64868   0.0367174
         243    -6.44319    -6.64784   0.0365761
         244    -6.44452      -6.647   0.0364357
         245    -6.44555    -6.64618   0.0362962
         246    -6.44691    -6.64537   0.0361577
         247    -6.44766    -6.64457   0.0360202
