#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     0.59927    0.972939   0.0357294
         169    0.603369    0.970752   0.0355848
         170    0.607425    0.968615   0.0354396
         171    0.611434    0.966526   0.0352939
         172    0.615393    0.964485   0.0351477
         173    0.619298    0.962489   0.0350011
         174    0.623146    0.960539   0.0348542
         175    0.626934    0.958633   0.0347071
         176    0.630658    0.956769   0.0345599
         177    0.634315    0.954948   0.0344127
         178    0.637905    0.953167   0.0342654
         179    0.641424    0.951425   0.0341182
         180     0.64487    0.949722   0.0339711
         181    0.648242    0.948056   0.0338243
         182    0.651538    0.946427   0.0336776
         183    0.654757    0.944833   0.0335313
         184    0.657899    0.943274   0.0333853
         185    0.660961    0.941748   0.0332397
         186    0.663944    0.940254   0.0330945
         187    0.666848    0.938792   0.0329498
         188    0.669672    0.937361   0.0328056
         189    0.672416    0.935959    0.032662
         190    0.675079    0.934586   0.0325189
         191    0.677662    0.933241   0.0323765
         192    0.680164    0.931922   0.0322347
         193    0.682589    0.930631   0.0320935
         194    0.684934    0.929364   0.0319531
         195    0.687202    0.928122   0.0318134
         196    0.689393    0.926904   0.0316744
         197    0.691509    0.925709   0.0315361
         198    0.693551    0.924537   0.0313986
         199     0.69552    0.923386   0.0312619
         200    0.697418    0.922256    0.031126
         201    0.699247    0.921147   0.0309909
         202    0.701007    0.920057   0.0308567
         203    0.702701    0.918986   0.0307232
         204     0.70433    0.917934   0.0305906
         205    0.705895      0.9169   0.0304589
         206      0.7074    0.915883    0.030328
         207    0.708845    0.914882    0.030198
         208    0.710233    0.913899   0.0300688
         209    0.711567     0.91293   0.0299405
         210    0.712848    0.911978   0.0298131
         211     0.71408     0.91104   0.0296866
         212    0.715263    0.910116   0.0295609
         213      0.7164    0.909207   0.0294361
         214    0.717494    0.908311   0.0293122
         215    0.718547    0.907428   0.0291891
         216     0.71956    0.906559    0.029067
         217    0.720537    0.905701   0.0289456
         218    0.721479    0.904856   0.0288252
         219    0.722388    0.904023   0.0287056
         220    0.723269    0.903201   0.0285869
         221    0.724122    0.902391    0.028469
         222     0.72495    0.901592    0.028352
         223    0.725754    0.900803   0.0282358
         224    0.726537    0.900025   0.0281205
         225    0.727301    0.899258    0.028006
         226    0.728047      0.8985   0.0278923
         227    0.728778    0.897752   0.0277795
         228    0.729494    0.897014   0.0276674
         229      0.7302    0.896286   0.0275562
         230    0.730896    0.895567   0.0274458
         231    0.731584    0.894857   0.0273361
         232    0.732266    0.894156   0.0272273
         233    0.732943    0.893464   0.0271192
         234    0.733618    0.892781   0.0270119
         235    0.734292    0.892107   0.0269054
         236    0.734965    0.891441   0.0267996
         237     0.73564    0.890784   0.0266946
         238    0.736319    0.890135   0.0265903
         239    0.737001    0.889494   0.0264868
         240     0.73769    0.888861    0.026384
         241    0.738386    0.888237   0.0262819
         242    0.739091    0.887621   0.0261805
         243    0.739805    0.887012   0.0260798
         244    0.740532    0.886412   0.0259799
         245    0.741271     0.88582   0.0258806
         246    0.742023    0.885235    0.025782
         247    0.742789    0.884658    0.025684
         248     0.74357    0.884089   0.0255868
         249    0.744367    0.883528   0.0254902
         250    0.745183    0.882975   0.0253942
         251    0.746015    0.882429   0.0252989
         252    0.746867    0.881891   0.0252042
         253    0.747739    0.881361   0.0251102
         254    0.748631    0.880839   0.0250168
         255    0.749544    0.880324    0.024924
         256     0.75048    0.879816   0.0248318
         257    0.751438    0.879317   0.0247402
         258    0.752419    0.878825   0.0246492
         259    0.753425    0.878341   0.0245587
         260    0.754455    0.877864   0.0244689
         261     0.75551    0.877396   0.0243797
         262    0.756591    0.876935    0.024291
         263    0.757698    0.876481   0.0242028
         264    0.758833    0.876036   0.0241153
         265    0.759995    0.875598   0.0240282
         266    0.761185    0.875168   0.0239417
         267    0.762403    0.874745   0.0238558
         268    0.763649    0.874331   0.0237704
         269    0.764922    0.873924   0.0236855
         270    0.766224    0.873525   0.0236011
         271    0.767553    0.873134   0.0235173
         272    0.768911    0.872751   0.0234339
         273    0.770297    0.872376   0.0233511
         274    0.771712    0.872008   0.0232688
         275    0.773154    0.871649   0.0231869
         276    0.774624    0.871297   0.0231056
         277    0.776123    0.870954   0.0230247
         278    0.777649    0.870618   0.0229444
         279    0.779203     0.87029   0.0228645
         280    0.780784    0.869971    0.022785
         281    0.782392    0.869659   0.0227061
         282    0.784026    0.869355   0.0226276
         283    0.785686     0.86906   0.0225496
         284    0.787369    0.868772    0.022472
         285    0.789076    0.868492   0.0223949
         286    0.790806    0.868221   0.0223182
         287    0.792558    0.867957    0.022242
         288    0.794332    0.867701   0.0221663
         289    0.796127    0.867454    0.022091
         290    0.797944    0.867214   0.0220161
         291     0.79978    0.866982   0.0219416
         292    0.801635    0.866759   0.0218676
         293    0.803506    0.866543   0.0217941
         294    0.805394    0.866335   0.0217209
         295    0.807297    0.866135   0.0216482
         296    0.809214    0.865942   0.0215759
         297    0.811145    0.865758   0.0215041
         298    0.813088    0.865581   0.0214327
         299    0.815041    0.865412   0.0213616
         300    0.817002    0.865251    0.021291
         301    0.818972    0.865097   0.0212209
         302    0.820948    0.864951   0.0211511
         303    0.822931    0.864812   0.0210817
         304    0.824918    0.864681   0.0210128
         305    0.826909    0.864557   0.0209443
         306    0.828901     0.86444   0.0208762
         307    0.830895    0.864331   0.0208084
         308    0.832888    0.864229   0.0207411
         309    0.834881    0.864134   0.0206742
         310    0.836871    0.864046   0.0206077
         311    0.838856    0.863965   0.0205416
         312    0.840836    0.863891   0.0204759
         313    0.842808    0.863824   0.0204106
         314    0.844773    0.863763   0.0203457
         315    0.846729    0.863709   0.0202812
         316    0.848675    0.863661   0.0202171
         317     0.85061     0.86362   0.0201533
         318    0.852533    0.863585     0.02009
         319    0.854442    0.863557    0.020027
         320    0.856337    0.863534   0.0199644
         321    0.858217    0.863518   0.0199023
         322    0.860079    0.863507   0.0198405
         323    0.861923    0.863502    0.019779
         324    0.863747    0.863503    0.019718
         325    0.865552    0.863509   0.0196573
         326    0.867336    0.863521    0.019597
         327    0.869098    0.863538   0.0195371
         328    0.870836     0.86356   0.0194775
         329    0.872549    0.863587   0.0194184
         330    0.874237     0.86362   0.0193595
         331    0.875899    0.863657   0.0193011
         332    0.877533    0.863699    0.019243
         333    0.879138    0.863745   0.0191853
         334    0.880714    0.863796   0.0191279
         335    0.882259    0.863851   0.0190709
         336    0.883774     0.86391   0.0190142
         337    0.885257    0.863973   0.0189579
         338    0.886707    0.864041   0.0189019
         339    0.888126    0.864112   0.0188463
         340    0.889509    0.864186    0.018791
         341    0.890857    0.864265   0.0187361
         342    0.892169    0.864346   0.0186815
         343    0.893445    0.864431   0.0186272
         344    0.894684    0.864519   0.0185733
         345    0.895886     0.86461   0.0185196
         346     0.89705    0.864704   0.0184664
         347    0.898175      0.8648   0.0184134
         348    0.899261    0.864899   0.0183607
         349    0.900308    0.865001   0.0183084
         350    0.901317    0.865104   0.0182564
         351    0.902287     0.86521   0.0182047
         352    0.903215    0.865318   0.0181533
         353    0.904104    0.865428   0.0181022
         354    0.904951     0.86554   0.0180514
         355    0.905757    0.865653   0.0180009
         356    0.906523    0.865768   0.0179507
         357    0.907248    0.865884   0.0179008
         358    0.907931    0.866002   0.0178512
         359    0.908574     0.86612   0.0178019
         360    0.909175     0.86624   0.0177528
         361    0.909736     0.86636    0.017704
         362    0.910255    0.866482   0.0176556
         363    0.910733    0.866603   0.0176073
         364    0.911171    0.866726   0.0175594
         365    0.911568    0.866849   0.0175117
         366    0.911925    0.866972   0.0174643
         367    0.912241    0.867095   0.0174172
         368    0.912517    0.867219   0.0173703
         369    0.912755    0.867342   0.0173236
         370    0.912954    0.867465   0.0172772
         371    0.913115    0.867588   0.0172311
         372    0.913238    0.867711   0.0171852
         373    0.913324    0.867833   0.0171396
         374    0.913373    0.867955   0.0170942
         375    0.913385    0.868076    0.017049
         376    0.913363    0.868197   0.0170041
         377    0.913305    0.868316   0.0169594
         378    0.913213    0.868435    0.016915
         379    0.913086    0.868553   0.0168708
         380    0.912926     0.86867   0.0168268
         381    0.912732    0.868785    0.016783
         382    0.912506      0.8689   0.0167395
         383    0.912246    0.869013   0.0166961
         384    0.911954    0.869125    0.016653
         385    0.911632    0.869235   0.0166101
         386     0.91128    0.869344   0.0165675
         387    0.910898    0.869452    0.016525
         388    0.910487    0.869557   0.0164828
         389    0.910046    0.869661   0.0164407
         390    0.909576    0.869764   0.0163989
         391    0.909077    0.869864   0.0163572
         392     0.90855    0.869963   0.0163158
         393    0.907996     0.87006   0.0162746
         394    0.907414    0.870155   0.0162336
         395    0.906806    0.870247   0.0161927
         396    0.906172    0.870338   0.0161521
         397    0.905513    0.870427   0.0161116
         398    0.904828    0.870513   0.0160714
         399    0.904119    0.870597   0.0160313
         400    0.903386    0.870679   0.0159915
         401     0.90263    0.870759   0.0159518
         402    0.901852    0.870836   0.0159123
         403     0.90105    0.870911    0.015873
         404    0.900225    0.870984   0.0158339
         405    0.899379    0.871054   0.0157949
         406    0.898512    0.871122   0.0157562
         407    0.897623    0.871187   0.0157176
         408    0.896713    0.871249   0.0156792
         409    0.895782    0.871309    0.015641
         410    0.894831    0.871367   0.0156029
         411    0.893863    0.871421   0.0155651
         412    0.892877    0.871473   0.0155274
         413    0.891872    0.871523   0.0154898
         414     0.89085     0.87157   0.0154525
         415     0.88981    0.871613   0.0154153
         416    0.888752    0.871655   0.0153783
         417    0.887678    0.871693   0.0153415
         418    0.886588    0.871729   0.0153048
         419    0.885481    0.871762   0.0152683
         420    0.884359    0.871792    0.015232
         421    0.883223    0.871819   0.0151959
         422    0.882072    0.871843   0.0151599
         423    0.880907    0.871864   0.0151241
         424    0.879728    0.871883   0.0150884
         425    0.878535    0.871899   0.0150529
         426    0.877327    0.871911   0.0150176
         427    0.876107    0.871921   0.0149824
         428    0.874876    0.871928   0.0149474
         429    0.873634    0.871932   0.0149126
         430    0.872384    0.871933   0.0148779
         431    0.871123    0.871931   0.0148434
         432    0.869852    0.871926    0.014809
         433    0.868572    0.871919   0.0147748
         434    0.867283    0.871908   0.0147408
         435    0.865986    0.871894   0.0147069
         436    0.864681    0.871878   0.0146732
         437    0.863371    0.871858   0.0146396
         438    0.862055    0.871836   0.0146062
         439    0.860734    0.871811   0.0145729
         440     0.85941    0.871783   0.0145398
         441    0.858082    0.871751   0.0145069
         442    0.856753    0.871718   0.0144741
         443    0.855421    0.871681   0.0144415
         444    0.854088    0.871641    0.014409
         445    0.852754    0.871599   0.0143767
         446    0.851422    0.871553   0.0143445
         447    0.850092    0.871505   0.0143125
         448    0.848765    0.871455   0.0142807
         449    0.847442    0.871401    0.014249
         450    0.846123    0.871345   0.0142174
         451     0.84481    0.871286    0.014186
         452    0.843504    0.871225   0.0141548
         453    0.842207    0.871161   0.0141237
         454    0.840917    0.871094   0.0140927
         455    0.839637    0.871025   0.0140619
         456    0.838367    0.870953   0.0140313
         457    0.837109    0.870879   0.0140007
         458    0.835863    0.870803   0.0139704
         459    0.834631    0.870724   0.0139402
         460    0.833413    0.870643   0.0139101
         461    0.832213    0.870559   0.0138802
         462    0.831029    0.870474   0.0138504
         463    0.829863    0.870386   0.0138208
         464    0.828716    0.870296   0.0137913
         465    0.827588    0.870205   0.0137619
         466     0.82648    0.870111   0.0137327
         467    0.825394    0.870015   0.0137036
         468     0.82433    0.869917   0.0136747
         469     0.82329    0.869818   0.0136459
         470    0.822275    0.869717   0.0136172
         471    0.821285    0.869614   0.0135887
         472    0.820321     0.86951   0.0135603
         473    0.819383    0.869404   0.0135321
         474    0.818472    0.869296    0.013504
         475    0.817589    0.869187    0.013476
         476    0.816735    0.869077   0.0134481
         477    0.815911    0.868966   0.0134204
         478    0.815116    0.868853   0.0133928
         479    0.814352    0.868739   0.0133653
         480     0.81362    0.868624   0.0133379
         481    0.812918    0.868508   0.0133107
         482    0.812249    0.868392   0.0132836
         483    0.811614    0.868274   0.0132566
         484    0.811013    0.868156   0.0132298
         485    0.810446    0.868037    0.013203
         486    0.809912    0.867917   0.0131764
         487    0.809412    0.867797   0.0131499
         488    0.808946    0.867677   0.0131235
         489    0.808514    0.867556   0.0130972
         490    0.808118    0.867434    0.013071
         491    0.807757    0.867313    0.013045
         492    0.807431    0.867191    0.013019
         493    0.807142    0.867069   0.0129932
         494    0.806888    0.866947   0.0129675
         495    0.806671    0.866826   0.0129418
         496    0.806491    0.866704   0.0129163
         497    0.806348    0.866583   0.0128909
         498    0.806242    0.866461   0.0128656
         499    0.806174    0.866341   0.0128404
         500    0.806143     0.86622   0.0128153
         501    0.806151      0.8661   0.0127902
         502    0.806196    0.865981   0.0127653
