#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168    0.817187     1.32674   0.0487219
         169    0.822776     1.32375   0.0485247
         170    0.828307     1.32084   0.0483267
         171    0.833774     1.31799    0.048128
         172    0.839173     1.31521   0.0479286
         173    0.844498     1.31249   0.0477287
         174    0.849745     1.30983   0.0475285
         175    0.854909     1.30723   0.0473279
         176    0.859988     1.30469   0.0471272
         177    0.864976      1.3022   0.0469264
         178     0.86987     1.29977   0.0467255
         179    0.874669      1.2974   0.0465248
         180    0.879368     1.29508   0.0463243
         181    0.883966      1.2928    0.046124
         182    0.888461     1.29058    0.045924
         183    0.892851     1.28841   0.0457245
         184    0.897135     1.28628   0.0455254
         185    0.901311      1.2842   0.0453268
         186    0.905379     1.28216   0.0451289
         187    0.909338     1.28017   0.0449316
         188    0.913189     1.27822    0.044735
         189    0.916931     1.27631   0.0445391
         190    0.920562     1.27444    0.044344
         191    0.924084      1.2726   0.0441498
         192    0.927497      1.2708   0.0439564
         193    0.930803     1.26904   0.0437639
         194    0.934001     1.26731   0.0435724
         195    0.937094     1.26562   0.0433818
         196    0.940082     1.26396   0.0431923
         197    0.942967     1.26233   0.0430038
         198    0.945751     1.26073   0.0428163
         199    0.948437     1.25916   0.0426299
         200    0.951025     1.25762   0.0424446
         201    0.953518     1.25611   0.0422604
         202    0.955919     1.25462   0.0420773
         203    0.958228     1.25316   0.0418953
         204    0.960449     1.25173   0.0417145
         205    0.962585     1.25032   0.0415349
         206    0.964636     1.24893   0.0413564
         207    0.966607     1.24757   0.0411791
         208      0.9685     1.24623    0.041003
         209    0.970319     1.24491    0.040828
         210    0.972066     1.24361   0.0406543
         211    0.973745     1.24233   0.0404817
         212    0.975358     1.24107   0.0403103
         213    0.976909     1.23983   0.0401401
         214    0.978401     1.23861   0.0399712
         215    0.979836      1.2374   0.0398034
         216    0.981218     1.23622   0.0396368
         217     0.98255     1.23505   0.0394713
         218    0.983835     1.23389   0.0393071
         219    0.985075     1.23276    0.039144
         220    0.986275     1.23164   0.0389821
         221    0.987439     1.23053   0.0388214
         222    0.988568     1.22944   0.0386618
         223    0.989665     1.22837   0.0385034
         224    0.990733     1.22731   0.0383461
         225    0.991774     1.22626     0.03819
         226    0.992791     1.22523    0.038035
         227    0.993788     1.22421   0.0378811
         228    0.994765      1.2232   0.0377283
         229    0.995727     1.22221   0.0375766
         230    0.996677     1.22123    0.037426
         231    0.997615     1.22026   0.0372765
         232    0.998545      1.2193   0.0371281
         233    0.999468     1.21836   0.0369807
         234     1.00039     1.21743   0.0368344
         235     1.00131     1.21651   0.0366892
         236     1.00223      1.2156   0.0365449
         237     1.00315      1.2147   0.0364017
         238     1.00407     1.21382   0.0362595
         239       1.005     1.21295   0.0361184
         240     1.00594     1.21208   0.0359782
         241     1.00689     1.21123   0.0358389
         242     1.00785     1.21039   0.0357007
         243     1.00883     1.20956   0.0355634
         244     1.00982     1.20874   0.0354271
