#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.06701     6.06701           0
           2     5.43728     5.75215    0.222643
           3     5.96281     5.82237    0.159118
           4     5.81719     5.82107    0.119344
           5     5.72155     5.80117   0.0971205
           6     6.32175     5.88793    0.113242
           7     5.63671     5.85204    0.102594
           8     5.40428     5.79607    0.103922
           9     5.34007      5.7454    0.103995
          10      5.5038     5.72124   0.0963614
          11     5.59277     5.70956   0.0883062
          12      5.9854     5.73255   0.0838856
          13     5.40023     5.70699   0.0812345
          14      5.4867     5.69125   0.0769409
          15     5.26762     5.66301   0.0768201
          16     5.41685     5.64763   0.0735433
          17     5.48647     5.63815   0.0698256
          18     5.74647     5.64416   0.0662052
          19     5.27483     5.62472   0.0655123
          20     4.99276     5.59313   0.0694402
          21     5.35299     5.58169   0.0670685
          22     5.55687     5.58056   0.0640294
          23      5.5669     5.57997   0.0612483
          24     5.49346     5.57636   0.0588022
          25     5.56375     5.57586   0.0564523
          26     5.14334     5.55922   0.0566792
          27     5.42668     5.55432   0.0547921
          28     5.77292     5.56212   0.0533886
          29      5.3798     5.55584   0.0519165
          30     5.38689      5.5502   0.0504904
