#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.405338    0.405338           0
           2    0.398013    0.401676  0.00258961
           3    0.395062    0.399471  0.00249415
           4    0.406228     0.40116  0.00237479
           5    0.395368    0.400002  0.00216402
           6    0.391447    0.398576    0.002224
           7    0.399328    0.398684  0.00190888
           8    0.390437    0.397653  0.00192862
           9    0.395683    0.397434  0.00172671
          10    0.394372    0.397128  0.00158095
          11    0.406652    0.397993  0.00165748
          12    0.409944    0.398989  0.00179375
          13    0.389585    0.398266  0.00179574
          14    0.394802    0.398018  0.00168444
          15    0.387609    0.397325  0.00170913
          16    0.397432    0.397331  0.00160232
          17    0.387179    0.396734  0.00161553
          18    0.411809    0.397572  0.00172929
          19    0.386803    0.397005  0.00172866
          20    0.403248    0.397317  0.00167017
          21    0.379921    0.396489  0.00178429
          22    0.382708    0.395862   0.0018098
          23    0.397272    0.395923  0.00173215
          24    0.383887    0.395422  0.00173107
          25    0.385274    0.395016  0.00170875
          26    0.401758    0.395275  0.00166259
          27    0.398322    0.395388  0.00160483
          28    0.402295    0.395635  0.00156636
          29    0.392934    0.395542  0.00151512
          30    0.386639    0.395245  0.00149339
