#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.131516    0.131516           0
           2     0.10762    0.119568  0.00844851
           3    0.111276    0.116804  0.00606765
           4    0.130856    0.120317  0.00547404
           5    0.157392    0.127732  0.00794754
           6     0.11562    0.125713  0.00687454
           7    0.066644    0.117275  0.00978552
           8    0.094472    0.114425  0.00896786
           9    0.111632    0.114114   0.0079768
          10    0.076004    0.110303  0.00803811
          11    0.112208    0.110476  0.00730924
          12    0.104756        0.11  0.00671566
          13    0.112496    0.110192  0.00620182
          14    0.105336    0.109845  0.00576852
          15     0.15844    0.113085  0.00622758
          16    0.127236    0.113969  0.00590083
          17    0.106924    0.113555  0.00556825
          18    0.108332    0.113264  0.00526646
          19    0.109144    0.113048  0.00499374
          20    0.112352    0.113013  0.00474418
          21     0.10684    0.112719  0.00452736
          22    0.094492     0.11189  0.00439672
          23    0.119172    0.112207  0.00421694
          24    0.131648    0.113017  0.00411831
          25     0.10338    0.112632  0.00397157
          26    0.134332    0.113466  0.00390554
          27    0.133696    0.114215  0.00383208
          28    0.117812    0.114344  0.00369737
          29     0.09952    0.113833  0.00360504
          30    0.091304    0.113082  0.00356223
