#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034296    0.034296           0
           2    0.044748    0.039522  0.00369534
           3    0.037856   0.0389667  0.00250494
           4     0.03334     0.03756   0.0022391
           5    0.047444   0.0395368  0.00251692
           6     0.03894   0.0394373   0.0020994
           7    0.033348   0.0385674  0.00197149
           8      0.0539    0.040484  0.00248795
           9    0.037472   0.0401493  0.00223391
          10    0.039528   0.0400872  0.00201138
          11    0.048124   0.0408178  0.00195673
          12    0.037036   0.0405027  0.00181887
          13    0.039876   0.0404545   0.0016796
          14    0.037212   0.0402229  0.00157551
          15      0.0408   0.0402613  0.00147095
          16    0.046348   0.0406417  0.00142736
          17     0.03356   0.0402252  0.00140287
          18    0.047504   0.0406296  0.00138198
          19    0.027924   0.0399608  0.00146211
          20    0.032228   0.0395742  0.00143922
          21    0.037232   0.0394627    0.001375
          22      0.0395   0.0394644   0.0013125
          23    0.029756   0.0390423  0.00132157
          24      0.0305   0.0386863  0.00131356
          25     0.03896   0.0386973  0.00126106
          26    0.045628   0.0389638  0.00124041
          27    0.048216   0.0393065   0.0012409
          28     0.03574   0.0391791   0.0012031
          29     0.04122   0.0392495  0.00116367
          30    0.037228   0.0391821  0.00112683
