#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.52804    -0.52804           0
           2   -0.531104   -0.529572  0.00108329
           3   -0.527104   -0.528749  0.00098628
           4   -0.525672    -0.52798 0.000995528
           5   -0.526744   -0.527733 0.000826544
           6    -0.52908   -0.527957 0.000718637
           7   -0.531728   -0.528496  0.00079255
           8    -0.52872   -0.528524 0.000693976
           9    -0.52968   -0.528652 0.000628641
          10   -0.527624    -0.52855 0.000574128
          11    -0.52604   -0.528321 0.000565451
          12   -0.526928   -0.528205 0.000530119
          13    -0.52848   -0.528226 0.000489761
          14   -0.530952   -0.528421 0.000491952
          15   -0.529584   -0.528499 0.000465224
          16   -0.526752    -0.52839 0.000448773
          17   -0.524664    -0.52817 0.000472864
          18   -0.526496   -0.528077 0.000455651
          19   -0.528928   -0.528122 0.000433864
          20   -0.525608   -0.527996 0.000429996
          21   -0.526824   -0.527941 0.000413128
          22   -0.527176   -0.527906 0.000395808
          23   -0.525968   -0.527822 0.000387463
          24   -0.529648   -0.527898 0.000378718
          25   -0.526824   -0.527855 0.000365997
          26   -0.525776   -0.527775 0.000360547
          27   -0.528904   -0.527817  0.00034961
          28   -0.529328   -0.527871 0.000341266
          29   -0.527144   -0.527846 0.000330416
          30    -0.52812   -0.527855 0.000319529
