#   N_BLOCK:  ACCEPTANCE:
           1    0.471104
           2    0.469908
           3    0.470297
           4    0.471386
           5    0.471756
           6    0.471498
           7    0.471445
           8    0.471496
           9    0.471434
          10    0.471623
          11    0.471838
          12    0.471854
          13    0.471865
          14    0.471716
          15     0.47164
          16    0.471739
          17    0.471956
          18    0.472058
          19    0.472024
          20     0.47204
          21    0.471979
          22    0.472045
          23    0.472053
          24    0.471992
          25    0.472048
          26    0.472087
          27    0.472042
          28    0.472054
          29     0.47207
          30    0.472078
