#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     27.0177     27.0177           0
           2     23.3341     25.1759     1.30235
           3     27.7819     26.0446     1.12111
           4     22.4898     25.1559     1.13988
           5     23.9445     24.9136    0.937295
           6      26.024     25.0987    0.799141
           7     22.4705     24.7232    0.768129
           8     26.3323     24.9244     0.69795
           9     21.7545     24.5721    0.703678
          10     22.0141     24.3163    0.678214
          11     23.1179     24.2074    0.625248
          12     29.0501     24.6109    0.691216
          13     21.6595     24.3839    0.674302
          14     20.6176     24.1149     0.67768
          15     24.1653     24.1183    0.632509
          16     21.4846     23.9536    0.614022
          17     22.9173     23.8927    0.580921
          18     29.6069     24.2101    0.629441
          19     22.0788      24.098    0.606226
          20     28.2935     24.3077    0.611134
          21     26.8574     24.4292     0.59397
          22     24.4576     24.4305    0.566972
          23     25.9967     24.4985    0.546395
          24      18.965      24.268    0.570203
          25     22.0915     24.1809    0.554002
          26     29.2955     24.3776    0.566543
          27     20.7551     24.2435    0.561222
          28     22.9115     24.1959     0.54319
          29     21.9053     24.1169    0.530171
          30      25.516     24.1636    0.514546
