#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.457584    0.457584           0
           2    0.444814    0.451199  0.00451492
           3    0.458143    0.453514  0.00355402
           4    0.420625    0.445291  0.00760325
           5    0.396817    0.435597   0.0105921
           6    0.472013    0.441666   0.0104216
           7    0.463571    0.444795  0.00939084
           8    0.474317    0.448485  0.00891259
           9    0.410274     0.44424  0.00887616
          10    0.412823    0.441098  0.00852643
          11    0.421522    0.439318  0.00793485
          12    0.425812    0.438193  0.00735301
          13    0.412408    0.436209  0.00704984
          14    0.412967    0.434549  0.00673893
          15    0.399325    0.432201   0.0066863
          16    0.416418    0.431214  0.00634075
          17     0.45089    0.432372  0.00607248
          18    0.435139    0.432526  0.00573707
          19    0.434743    0.432642   0.0054363
          20    0.398194     0.43092   0.0054305
          21    0.399488    0.429423  0.00537421
          22    0.445828    0.430169   0.0051814
          23    0.422951    0.429855  0.00496562
          24    0.376517    0.427633  0.00523247
          25    0.401574     0.42659  0.00512594
          26    0.460661    0.427901  0.00509353
          27    0.396501    0.426738   0.0050359
          28    0.407477     0.42605   0.0049028
          29    0.374369    0.424268  0.00504724
          30    0.460937     0.42549  0.00502482
