#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.371656    0.371656           0
           2    0.544424     0.45804   0.0610827
           3     0.44748     0.45452   0.0408231
           4    0.491156    0.463679   0.0316281
           5    0.611512    0.493246      0.0366
           6    0.384764    0.475165   0.0346795
           7    0.481368    0.476051   0.0297366
           8      0.4301    0.470308   0.0265685
           9    0.417628    0.464454   0.0242526
          10       0.506    0.468609   0.0221803
          11    0.455844    0.467448   0.0201943
          12    0.473832     0.46798   0.0185184
          13    0.468944    0.468054   0.0170941
          14    0.443052    0.466269   0.0159661
          15      0.4551    0.465524    0.014919
          16    0.538448    0.470082   0.0146663
          17     0.48392    0.470896   0.0138261
          18      0.3764    0.465646   0.0140193
          19    0.367172    0.460463   0.0142072
          20    0.408864    0.457883   0.0137291
          21    0.451044    0.457558   0.0130792
          22    0.477248    0.458453   0.0125153
          23    0.517784    0.461032   0.0122341
          24    0.469448    0.461383   0.0117294
          25    0.438916    0.460484   0.0112946
          26    0.463176    0.460588   0.0108606
          27    0.437852    0.459746    0.010491
          28    0.475228    0.460299   0.0101309
          29    0.493744    0.461452  0.00984695
          30    0.376236    0.458611  0.00991996
