#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.89456    -0.89456           0
           2   -0.890144   -0.892352  0.00156129
           3   -0.895024   -0.893243  0.00126974
           4   -0.890344   -0.892518   0.0011405
           5   -0.891696   -0.892354 0.000924175
           6    -0.89556   -0.892888 0.000911653
           7   -0.886576   -0.891986  0.00114348
           8    -0.89388   -0.892223  0.00102475
           9   -0.886384   -0.891574  0.00109721
          10   -0.888184   -0.891235  0.00103854
          11   -0.889648   -0.891091 0.000954103
          12   -0.899592   -0.891799  0.00110678
          13    -0.88796   -0.891504  0.00106031
          14   -0.885088   -0.891046  0.00107908
          15   -0.889168   -0.890921  0.00101438
          16   -0.884048   -0.890491  0.00103794
          17   -0.886776   -0.890272 0.000999628
          18   -0.901776   -0.890912  0.00113007
          19     -0.8904   -0.890885  0.00107091
          20   -0.900312   -0.891356  0.00111629
          21   -0.897024   -0.891626  0.00109528
          22   -0.890408   -0.891571  0.00104689
          23   -0.893328   -0.891647  0.00100416
          24   -0.884424   -0.891346  0.00100641
          25   -0.889696    -0.89128 0.000968315
          26    -0.89572   -0.891451 0.000946011
          27   -0.885576   -0.891233 0.000935661
          28   -0.891328   -0.891237 0.000902251
          29   -0.888216   -0.891132  0.00087713
          30   -0.892024   -0.891162 0.000848396
