#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         184        3.38     2.70696    0.077913
         185        3.38     2.71059   0.0775767
         186        2.74     2.71075   0.0771598
         187        2.02     2.70706   0.0768356
         188        3.94     2.71362   0.0767062
         189         3.7     2.71884   0.0764777
         190        3.38     2.72232   0.0761543
         191         2.9     2.72325   0.0757613
         192         1.7     2.71792   0.0755539
         193        1.62     2.71223   0.0753763
         194        3.38     2.71567   0.0750663
         195        2.42     2.71415   0.0746967
         196         2.5     2.71306   0.0743236
         197        3.94     2.71929   0.0742068
         198         2.9      2.7202   0.0738376
         199         2.5      2.7191   0.0734749
         200        5.78      2.7344   0.0746844
         201         7.3     2.75711   0.0776903
         202        3.46     2.76059   0.0773836
         203        3.94      2.7664   0.0772202
         204        2.18     2.76353   0.0768951
         205        2.02      2.7599   0.0766055
         206        2.02     2.75631   0.0763178
         207        3.06     2.75778   0.0759632
         208         4.1     2.76423   0.0758716
         209         5.3     2.77636   0.0764725
         210        5.14     2.78762   0.0769322
         211        2.42     2.78588   0.0765873
         212         2.5     2.78453   0.0762379
         213        3.06     2.78582    0.075891
         214        1.06     2.77776   0.0759636
         215        2.02     2.77423    0.075692
         216         1.3     2.76741   0.0756487
         217         1.7     2.76249   0.0754598
         218        3.94     2.76789   0.0753067
         219        3.06     2.76922   0.0749747
         220        1.06     2.76145   0.0750354
         221        3.06     2.76281    0.074708
         222        1.62     2.75766   0.0745486
         223         2.5      2.7565   0.0742233
         224        0.74      2.7475   0.0744358
         225        0.98     2.73964   0.0745184
         226        2.42     2.73823   0.0742021
         227         2.5     2.73718   0.0738826
         228         2.9     2.73789    0.073562
         229        3.38      2.7407   0.0732942
         230         4.5     2.74835   0.0733736
         231        2.02     2.74519   0.0731237
         232        2.42     2.74379   0.0728219
         233        5.14     2.75408   0.0732319
         234        3.94     2.75915   0.0730941
         235        4.82     2.76791   0.0733073
         236         2.5     2.76678   0.0730055
         237        3.46      2.7697    0.072756
         238         4.5     2.77697   0.0728126
         239        3.46     2.77983    0.072564
         240        5.14     2.78967    0.072925
         241         2.9     2.79012   0.0726238
         242        1.62     2.78529   0.0724845
         243        1.62     2.78049   0.0723447
         244         2.9     2.78098   0.0720499
         245         2.9     2.78147   0.0717574
         246         1.3     2.77545    0.071718
         247        3.46     2.77822   0.0714811
         248        1.46      2.7729   0.0713903
         249        1.94     2.76956   0.0711819
         250        3.94     2.77424    0.071051
         251        2.02     2.77124   0.0708314
         252        3.94     2.77587    0.070702
         253        4.58       2.783   0.0707812
         254        3.46     2.78567   0.0705527
         255         3.7     2.78925   0.0703671
         256        2.34      2.7875   0.0701141
         257        4.58     2.79447   0.0701874
         258         2.9     2.79488   0.0699165
         259        2.42     2.79344   0.0696615
         260         1.7     2.78923   0.0695204
         261        2.02     2.78628   0.0693165
         262         2.9     2.78672   0.0690533
         263        5.14     2.79567   0.0693681
         264        3.94         2.8   0.0692406
         265        2.42     2.79857   0.0689942
         266        2.18     2.79624    0.068774
         267         1.7     2.79213   0.0686388
         268         2.9     2.79254   0.0683839
         269        1.06      2.7861   0.0684323
         270         3.7     2.78948   0.0682625
         271        3.94     2.79373   0.0681425
         272        0.98     2.78706   0.0682175
         273         2.9     2.78747   0.0679688
         274         2.5     2.78642   0.0677289
         275        3.06     2.78742   0.0674899
         276         1.7     2.78348   0.0673603
         277         2.5     2.78245   0.0671249
         278         2.9     2.78288   0.0668847
         279         2.9      2.7833   0.0666463
         280        3.94     2.78743   0.0665362
         281         2.9     2.78783   0.0663006
         282         2.9     2.78823   0.0660667
         283        3.46      2.7906   0.0658759
         284        2.18     2.78845    0.065679
         285        3.94     2.79249   0.0655727
         286        4.58     2.79874   0.0656406
         287        2.02     2.79603    0.065468
         288        2.42     2.79472   0.0652537
         289        3.94     2.79869   0.0651481
         290         2.9     2.79903   0.0649244
         291        2.42     2.79773   0.0647144
         292         1.7     2.79397   0.0646018
         293        2.02     2.79133   0.0644353
         294        4.58     2.79741   0.0645028
         295        3.94     2.80129   0.0644003
         296        2.02     2.79865   0.0642368
         297        1.62     2.79468    0.064143
         298        3.06     2.79557   0.0639339
         299        0.74      2.7887   0.0640886
         300        2.42     2.78747   0.0638868
         301        3.46      2.7897   0.0637136
         302        3.46     2.79192   0.0635413
         303        2.02     2.78937   0.0633826
         304        3.38     2.79132   0.0632039
         305         2.9     2.79167   0.0629977
         306         2.5     2.79072    0.062799
         307         4.5     2.79629   0.0628408
         308        2.02     2.79377   0.0626873
         309        3.94     2.79748   0.0625941
         310        2.42     2.79626    0.062404
         311        2.02     2.79376   0.0622532
         312        3.94     2.79744    0.062162
         313         1.3     2.79265   0.0621472
         314         4.5     2.79809   0.0621867
         315         1.7      2.7946   0.0620869
         316        2.02     2.79215   0.0619388
         317        1.62     2.78845   0.0618537
         318        5.14     2.79585   0.0620997
         319        2.02     2.79342   0.0619526
         320         4.1      2.7975   0.0618934
         321        3.38     2.79931   0.0617272
         322         2.9     2.79963   0.0615363
         323        2.18     2.79771   0.0613757
         324        1.62     2.79407   0.0612938
         325        3.06     2.79489   0.0611106
         326        4.58     2.80037    0.061168
         327        3.06     2.80116   0.0609861
         328         2.5     2.80024   0.0608071
         329         4.1     2.80419   0.0607505
         330        3.94     2.80764   0.0606638
         331         4.5     2.81275   0.0606956
         332         2.5     2.81181   0.0605201
         333        3.06     2.81255   0.0603429
         334        1.94     2.80994   0.0602188
         335        3.46     2.81188   0.0600703
         336        0.58     2.80524   0.0602576
         337        2.18     2.80338   0.0601074
         338        3.38     2.80509   0.0599538
         339        2.18     2.80324   0.0598053
         340        4.58     2.80847   0.0598572
         341        3.38     2.81015   0.0597052
         342         2.9     2.81041   0.0595312
         343        3.46      2.8123   0.0593877
         344        3.46     2.81419   0.0592449
         345        3.94     2.81745    0.059163
         346         4.1     2.82116    0.059108
         347         2.9     2.82138   0.0589381
         348         1.3     2.81701   0.0589307
         349         2.5      2.8161   0.0587688
         350        1.46     2.81223   0.0587285
         351         1.7     2.80906   0.0586466
         352         2.9     2.80932   0.0584806
         353        3.46     2.81116   0.0583439
         354        2.42     2.81006   0.0581896
         355        2.02     2.80783   0.0580682
         356        3.94     2.81101   0.0579921
         357        2.02      2.8088    0.057872
         358        3.94     2.81196   0.0577965
         359         2.9      2.8122   0.0576361
         360        2.02        2.81    0.057518
         361        3.38     2.81158   0.0573803
         362        0.98     2.80652   0.0574444
         363        0.74     2.80083   0.0575676
         364        1.46     2.79714   0.0575271
         365        2.02     2.79501   0.0574089
         366        2.02      2.7929   0.0572911
         367        3.46     2.79471   0.0571638
         368        5.78     2.80283   0.0575812
         369         2.9     2.80309   0.0574258
         370        2.02     2.80097   0.0573096
         371         2.9     2.80124   0.0571557
         372        1.46     2.79763   0.0571157
         373        3.38      2.7992   0.0569839
         374        2.02     2.79711   0.0568696
         375         2.5     2.79632   0.0567235
         376        3.94     2.79936   0.0566541
         377         1.3     2.79538   0.0566432
         378         2.5      2.7946   0.0564988
         379        0.98     2.78982   0.0565522
         380         2.9     2.79011   0.0564041
         381         4.5     2.79459   0.0564344
         382         2.9     2.79487   0.0562873
         383         2.9     2.79514    0.056141
         384         1.7     2.79229   0.0560672
         385         2.5     2.79153   0.0559267
         386        2.42     2.79057   0.0557901
         387        4.58     2.79519   0.0558372
         388        0.74      2.7899    0.055944
         389        2.02     2.78792   0.0558352
         390         6.1     2.79641   0.0563342
         391        5.78     2.80404   0.0567045
         392        3.38     2.80551   0.0565789
         393         4.5     2.80982    0.056599
         394        3.46     2.81147   0.0564794
         395         2.9      2.8117   0.0563368
         396         2.5     2.81091   0.0562001
         397        5.78     2.81839   0.0565539
         398        4.58     2.82281   0.0565848
         399        3.94     2.82561   0.0565122
         400         1.3      2.8218   0.0564995
         401        2.02      2.8198    0.056394
         402        2.02     2.81781   0.0562888
         403        1.94     2.81563   0.0561912
         404         2.9     2.81584   0.0560525
         405        2.02     2.81388   0.0559485
         406        2.02     2.81192   0.0558449
         407        2.42     2.81096    0.055716
         408        2.42        2.81   0.0555877
         409        1.78     2.80748   0.0555088
         410        2.02     2.80556   0.0554066
         411        4.58     2.80988   0.0554398
         412         2.9      2.8101   0.0553056
         413        3.46     2.81167   0.0551941
         414        3.38     2.81304   0.0550778
         415         1.3      2.8094   0.0550657
         416         1.3     2.80577   0.0550527
         417        2.74     2.80561   0.0549209
         418         2.9     2.80584     0.05479
         419         4.1     2.80893   0.0547462
         420        2.42       2.808   0.0546237
         421         1.7     2.80537   0.0545573
         422         2.9     2.80559   0.0544285
         423        3.06     2.80619   0.0543031
         424         2.9     2.80642   0.0541755
         425        2.02     2.80456   0.0540796
         426        1.06     2.80047   0.0541075
         427        2.02     2.79864   0.0540117
         428         1.7     2.79607   0.0539464
         429         1.7     2.79352   0.0538812
         430        3.94     2.79619   0.0538218
         431         1.7     2.79364    0.053757
         432         2.5     2.79296   0.0536368
         433        2.42      2.7921   0.0535199
         434        5.14     2.79751   0.0536693
         435        3.06     2.79811   0.0535493
         436         2.5     2.79743   0.0534308
         437        3.46     2.79895   0.0533301
         438        0.74     2.79425   0.0534151
         439        3.46     2.79576   0.0533149
         440        4.58     2.79982   0.0533478
         441        2.42     2.79896   0.0532337
         442        2.02     2.79719   0.0531425
         443        4.58     2.80122   0.0531747
         444         2.5     2.80054   0.0530592
         445        3.46     2.80202   0.0529607
         446        3.46      2.8035   0.0528625
         447        1.46     2.80049   0.0528296
         448         2.5     2.79982   0.0527159
         449        2.42     2.79898   0.0526053
         450        1.06     2.79511   0.0526302
         451        3.38     2.79641   0.0525294
         452        4.58     2.80035   0.0525612
         453        2.02     2.79863   0.0524734
         454        2.02     2.79692   0.0523859
         455         2.5     2.79626   0.0522748
         456        3.06     2.79684   0.0521634
         457        4.58     2.80074   0.0521949
         458        2.42     2.79991   0.0520876
         459        3.46     2.80135    0.051994
         460        2.02     2.79965   0.0519087
         461         1.3      2.7964   0.0518979
         462         2.9     2.79662   0.0517861
         463         2.9     2.79685   0.0516747
         464        3.94     2.79931    0.051622
         465         4.5     2.80297   0.0516404
         466        3.94     2.80541   0.0515872
         467         2.5     2.80475   0.0514809
         468         4.5     2.80838   0.0514982
         469        4.58     2.81215   0.0515267
         470        3.46     2.81353   0.0514355
         471         4.1     2.81626   0.0513988
         472         4.1     2.81898   0.0513618
         473        3.46     2.82034   0.0512711
         474         1.3     2.81713   0.0512631
         475        4.58     2.82084   0.0512894
         476         3.7     2.82269   0.0512149
         477        2.02     2.82101   0.0511351
         478        1.62     2.81849   0.0510899
         479        3.06       2.819   0.0509857
         480        2.02     2.81733   0.0509066
         481        2.02     2.81568   0.0508278
