#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.48   -0.448696  0.00766326
         162       -0.48   -0.448889  0.00761839
         163       -0.52   -0.449325  0.00758414
         164       -0.44   -0.449268  0.00753811
         165       -0.48   -0.449455  0.00749472
         166       -0.64   -0.450602  0.00753696
         167       -0.44   -0.450539   0.0074921
         168       -0.56    -0.45119  0.00747578
         169       -0.44   -0.451124  0.00743184
         170       -0.44   -0.451059  0.00738841
         171       -0.56   -0.451696  0.00737262
         172       -0.44   -0.451628  0.00733007
         173       -0.36   -0.451098   0.0073068
         174       -0.28   -0.450115  0.00733068
         175        -0.4   -0.449829  0.00729438
         176       -0.48       -0.45  0.00725495
         177        -0.4   -0.449718  0.00721946
         178       -0.44   -0.449663  0.00717911
         179       -0.52   -0.450056  0.00714975
         180       -0.44       -0.45  0.00711024
         181       -0.48   -0.450166  0.00707289
         182        -0.4    -0.44989   0.0070394
         183       -0.32    -0.44918  0.00703662
         184       -0.52   -0.449565   0.0070089
         185       -0.52   -0.449946  0.00698135
         186       -0.44   -0.449892  0.00694402
         187        -0.4   -0.449626  0.00691201
         188       -0.56   -0.450213  0.00690013
         189       -0.52   -0.450582  0.00687349
         190       -0.48   -0.450737  0.00683906
         191       -0.48    -0.45089  0.00680497
         192       -0.36   -0.450417  0.00678597
         193       -0.36   -0.449948  0.00676697
         194       -0.52   -0.450309  0.00674171
         195       -0.44   -0.450256  0.00670735
         196       -0.44   -0.450204  0.00667333
         197       -0.56   -0.450761  0.00666269
         198       -0.48   -0.450909  0.00663067
         199       -0.44   -0.450854  0.00659758
         200       -0.68      -0.452  0.00666333
         201       -0.76   -0.453532  0.00680409
         202       -0.52   -0.453861  0.00677836
         203       -0.56   -0.454384  0.00676511
         204        -0.4   -0.454118  0.00673719
         205        -0.4   -0.453854   0.0067095
         206        -0.4   -0.453592  0.00668202
         207       -0.48    -0.45372  0.00665096
         208       -0.56   -0.454231  0.00663858
         209       -0.64    -0.45512  0.00666606
         210       -0.64      -0.456   0.0066922
         211       -0.44   -0.455924  0.00666091
         212       -0.44   -0.455849  0.00662991
         213       -0.48   -0.455962  0.00659976
         214       -0.28    -0.45514  0.00661994
         215        -0.4   -0.454884  0.00659412
         216       -0.32   -0.454259  0.00659309
         217       -0.36   -0.453825    0.006577
         218       -0.56   -0.454312  0.00656484
         219       -0.48   -0.454429  0.00653591
         220       -0.28   -0.453636  0.00655412
         221       -0.48   -0.453756  0.00652554
         222       -0.36   -0.453333   0.0065098
         223       -0.44   -0.453274  0.00648088
         224       -0.24   -0.452321  0.00652151
         225       -0.28   -0.451556  0.00653735
         226       -0.44   -0.451504  0.00650862
         227       -0.44   -0.451454  0.00648015
         228       -0.48   -0.451579  0.00645293
         229       -0.52   -0.451878  0.00643167
         230        -0.6   -0.452522  0.00643587
         231        -0.4   -0.452294  0.00641202
         232       -0.44   -0.452241   0.0063846
         233       -0.64   -0.453047  0.00640785
         234       -0.56   -0.453504  0.00639675
         235        -0.6   -0.454128  0.00639983
         236       -0.44   -0.454068  0.00637299
         237       -0.52   -0.454346  0.00635217
         238        -0.6   -0.454958  0.00635489
         239       -0.52    -0.45523  0.00633413
         240       -0.64      -0.456  0.00635435
         241       -0.48     -0.4561  0.00632876
         242       -0.36   -0.455702  0.00631506
         243       -0.36   -0.455309  0.00630134
         244       -0.48    -0.45541  0.00627633
         245       -0.48    -0.45551  0.00625151
         246       -0.32   -0.454959  0.00625032
         247       -0.52   -0.455223  0.00623056
         248       -0.32   -0.454677  0.00622925
         249       -0.36   -0.454297  0.00621583
         250       -0.56    -0.45472  0.00620533
         251        -0.4   -0.454502  0.00618443
         252       -0.56   -0.454921  0.00617405
         253        -0.6   -0.455494  0.00617621
         254       -0.52   -0.455748  0.00615712
         255       -0.52      -0.456  0.00613813
         256       -0.36   -0.455625  0.00612559
         257        -0.6   -0.456187  0.00612746
         258       -0.48   -0.456279  0.00610441
         259       -0.44   -0.456216  0.00608116
         260       -0.36   -0.455846  0.00606902
         261        -0.4   -0.455632  0.00604954
         262       -0.48   -0.455725  0.00602717
         263       -0.64   -0.456426  0.00604484
         264       -0.56   -0.456818  0.00603466
         265       -0.44   -0.456755  0.00601222
         266        -0.4   -0.456541   0.0059934
         267       -0.36    -0.45618  0.00598185
         268       -0.48   -0.456269  0.00596019
         269       -0.28   -0.455613  0.00597395
         270       -0.52   -0.455852  0.00595658
         271       -0.56   -0.456236  0.00594699
         272       -0.28   -0.455588  0.00596031
         273       -0.48   -0.455678  0.00593915
         274       -0.44    -0.45562  0.00591775
         275       -0.48   -0.455709   0.0058969
         276       -0.36   -0.455362  0.00588572
         277       -0.44   -0.455307  0.00586473
         278       -0.48   -0.455396  0.00584431
         279       -0.48   -0.455484  0.00582402
         280       -0.56   -0.455857  0.00581517
         281       -0.48   -0.455943  0.00579511
         282       -0.48   -0.456028  0.00577519
         283       -0.52   -0.456254  0.00575921
         284        -0.4   -0.456056  0.00574233
         285       -0.56   -0.456421  0.00573376
         286        -0.6   -0.456923  0.00573564
         287        -0.4   -0.456725  0.00571909
         288       -0.44   -0.456667  0.00569952
         289       -0.56   -0.457024  0.00569101
         290       -0.48   -0.457103  0.00567193
         291       -0.44   -0.457045  0.00565275
         292       -0.36   -0.456712  0.00564315
         293        -0.4   -0.456519  0.00562721
         294        -0.6   -0.457007  0.00562919
         295       -0.56   -0.457356  0.00562093
         296        -0.4   -0.457162  0.00560527
         297       -0.36   -0.456835  0.00559594
         298       -0.48   -0.456913   0.0055777
         299       -0.24   -0.456187  0.00560603
         300       -0.44   -0.456133   0.0055876
         301       -0.52   -0.456346  0.00557306
         302       -0.52   -0.456556  0.00555859
         303        -0.4    -0.45637  0.00554338
         304       -0.52   -0.456579   0.0055291
         305       -0.48   -0.456656   0.0055115
         306       -0.44   -0.456601  0.00549376
         307        -0.6   -0.457068  0.00549569
         308        -0.4   -0.456883  0.00548097
         309       -0.56   -0.457217  0.00547338
         310       -0.44   -0.457161    0.005456
         311        -0.4   -0.456977  0.00544155
         312       -0.56   -0.457308  0.00543412
         313       -0.32   -0.456869  0.00543444
         314        -0.6   -0.457325  0.00543622
         315       -0.36   -0.457016  0.00542773
         316        -0.4   -0.456835  0.00541355
         317       -0.36    -0.45653  0.00540509
         318       -0.64   -0.457107   0.0054188
         319        -0.4   -0.456928  0.00540476
         320       -0.56    -0.45725  0.00539746
         321       -0.52   -0.457445  0.00538419
         322       -0.48   -0.457516  0.00536792
         323        -0.4   -0.457337  0.00535426
         324       -0.36   -0.457037  0.00534615
         325       -0.48   -0.457108  0.00533017
         326        -0.6   -0.457546  0.00533181
         327       -0.48   -0.457615  0.00531595
         328       -0.44   -0.457561  0.00530001
         329       -0.56   -0.457872  0.00529304
         330       -0.56   -0.458182  0.00528604
         331        -0.6    -0.45861  0.00528741
         332       -0.44   -0.458554  0.00527178
         333       -0.48   -0.458619  0.00525634
         334       -0.36   -0.458323  0.00524889
         335       -0.52   -0.458507  0.00523645
         336        -0.2   -0.457738  0.00527708
         337        -0.4   -0.457567   0.0052642
         338       -0.52   -0.457751  0.00525187
         339        -0.4   -0.457581  0.00523914
         340        -0.6      -0.458  0.00524045
         341       -0.52   -0.458182  0.00522823
         342       -0.48   -0.458246  0.00521333
         343       -0.52   -0.458426  0.00520124
         344       -0.52   -0.458605   0.0051892
         345       -0.56   -0.458899  0.00518248
         346       -0.56   -0.459191  0.00517573
         347       -0.48   -0.459251  0.00516116
         348       -0.32   -0.458851  0.00516182
         349       -0.44   -0.458797  0.00514731
         350       -0.32     -0.4584  0.00514786
         351       -0.36    -0.45812  0.00514082
         352       -0.48   -0.458182  0.00512659
         353       -0.52   -0.458357  0.00511506
         354       -0.44   -0.458305  0.00510087
         355        -0.4   -0.458141  0.00508915
         356       -0.56   -0.458427  0.00508289
         357        -0.4   -0.458263  0.00507128
         358       -0.56   -0.458547  0.00506507
         359       -0.48   -0.458607  0.00505132
         360        -0.4   -0.458444  0.00503991
         361       -0.52   -0.458615  0.00502883
         362       -0.28   -0.458122  0.00503909
         363       -0.24   -0.457521  0.00506091
         364       -0.32   -0.457143  0.00506108
         365        -0.4   -0.456986  0.00504964
