#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.338608    0.338608           0
           2    0.355728    0.347168  0.00605288
           3    0.337819    0.344052  0.00477038
           4     0.34486    0.344254  0.00358206
           5    0.345465    0.344496  0.00287383
           6    0.339196    0.343612  0.00252696
           7    0.344475    0.343736  0.00216897
           8    0.343126    0.343659  0.00189919
           9    0.342622    0.343544  0.00169166
          10    0.352473    0.344437  0.00174229
          11    0.343976    0.344395   0.0015844
          12    0.334157    0.343542  0.00166634
          13     0.34811    0.343893  0.00157478
          14    0.344604    0.343944  0.00146312
          15    0.335953    0.343411  0.00145934
          16    0.351337    0.343907  0.00144977
          17    0.348663    0.344187  0.00139122
          18    0.345412    0.344255   0.0013156
          19    0.351148    0.344617  0.00129541
          20    0.345563    0.344665   0.0012315
          21    0.343258    0.344598  0.00117468
          22    0.341548    0.344459  0.00112943
          23    0.347329    0.344584   0.0010872
          24    0.340195    0.344401  0.00105717
          25    0.345973    0.344464  0.00101675
          26    0.349439    0.344655 0.000995487
          27    0.339155    0.344452 0.000979239
          28    0.338299    0.344232 0.000968609
          29    0.344331    0.344235 0.000935215
          30    0.347081     0.34433  0.00090884
