#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.06038     0.06038           0
           2    0.089352    0.074866   0.0102431
           3    0.074324   0.0746853  0.00683036
           4    0.074768    0.074706   0.0051228
           5    0.047888   0.0693424  0.00630953
           6    0.063244    0.068326  0.00533918
           7      0.0699   0.0685509  0.00458117
           8    0.062324   0.0677725  0.00407411
           9     0.08448   0.0696289  0.00402219
          10    0.061168   0.0687828   0.0037079
          11    0.078296   0.0696476  0.00347021
          12     0.08322   0.0707787  0.00336029
          13     0.08482   0.0718588  0.00327079
          14    0.055852   0.0707154  0.00323082
          15     0.05022   0.0693491  0.00329171
          16    0.077568   0.0698628   0.0031258
          17    0.069696   0.0698529  0.00294194
          18     0.07948   0.0703878   0.0028267
          19    0.065888   0.0701509  0.00268783
          20    0.081944   0.0707406  0.00261732
          21    0.065604    0.070496  0.00250409
          22    0.067228   0.0703475  0.00239467
          23    0.059612   0.0698807   0.0023356
          24    0.058576   0.0694097  0.00228528
          25     0.05936   0.0690077  0.00222895
          26     0.07982   0.0694235  0.00218167
          27    0.078512   0.0697601  0.00212667
          28     0.09134   0.0705309  0.00218592
          29    0.067176   0.0704152   0.0021136
          30    0.075776   0.0705939  0.00205069
