#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.62785     3.62785           0
           2     3.51154      3.5697   0.0411188
           3     3.56519     3.56819   0.0274399
           4     3.59221      3.5742   0.0212265
           5     3.58732     3.57682   0.0171426
           6     3.45759     3.55695   0.0230897
           7     3.52855     3.55289   0.0201446
           8     3.47353     3.54297   0.0199202
           9     3.39167     3.52616   0.0237647
          10      3.3305     3.50659   0.0283198
          11     3.75076     3.52879   0.0333274
          12     3.60114     3.53482   0.0310907
          13     3.54585     3.53567   0.0287106
          14     3.62274     3.54189   0.0273253
          15     3.38114     3.53117    0.027525
          16     3.77573     3.54646   0.0297474
          17     3.67623     3.55409   0.0289604
          18     3.44398     3.54797   0.0279902
          19     3.75839     3.55905   0.0286242
          20     3.52651     3.55742   0.0272392
          21     3.57124     3.55808   0.0259501
          22     3.33297     3.54785   0.0267117
          23      3.7052     3.55469   0.0264119
          24     3.34611       3.546    0.026703
          25     3.60486     3.54835   0.0257385
          26     3.67337     3.55316   0.0251936
          27     3.64828     3.55668   0.0245056
          28     3.53625     3.55595   0.0236413
          29     3.46897     3.55295   0.0230156
          30     3.58118     3.55389   0.0222676
