#   N_BLOCK:  ACCEPTANCE:
           1    0.353642
           2    0.352477
           3    0.352433
           4    0.353251
           5    0.353418
           6    0.353252
           7    0.353276
           8     0.35343
           9    0.353444
          10    0.353648
          11    0.353566
          12    0.353588
          13    0.353533
          14    0.353348
          15    0.353509
          16    0.353547
          17    0.353583
          18    0.353752
          19    0.353566
          20    0.353664
          21      0.3535
          22    0.353534
          23    0.353542
          24    0.353513
          25    0.353494
          26     0.35346
          27    0.353521
          28    0.353583
          29     0.35358
          30    0.353576
