#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201295    0.201295           0
           2    0.200185     0.20074 0.000392199
           3    0.200756    0.200745 0.000261504
           4    0.200027    0.200566  0.00025025
           5    0.201794    0.200811 0.000297189
           6     0.19327    0.199555  0.00117376
           7    0.191735    0.198438  0.00144284
           8    0.195128    0.198024  0.00132046
           9    0.195191    0.197709  0.00121067
          10    0.192907    0.197229  0.00118101
          11    0.196214    0.197137  0.00107725
          12    0.202423    0.197577  0.00107379
          13    0.199027    0.197689 0.000996962
          14    0.190489    0.197174  0.00105004
          15    0.199433    0.197325 0.000990769
          16    0.200582    0.197529 0.000949532
          17    0.199188    0.197626 0.000898682
          18    0.199091    0.197708 0.000852432
          19    0.198329     0.19774 0.000808195
          20    0.199624    0.197834 0.000773252
          21    0.196303    0.197762  0.00073986
          22    0.190649    0.197438 0.000773656
          23    0.199002    0.197506 0.000743001
          24    0.195695    0.197431 0.000715863
          25    0.194524    0.197315 0.000696607
          26    0.197157    0.197308 0.000669841
          27    0.194672    0.197211 0.000652111
          28    0.193391    0.197074 0.000642934
          29    0.195178    0.197009  0.00062408
          30    0.202057    0.197177 0.000625549
