#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03612     0.03612           0
           2     0.02558     0.03085  0.00372645
           3    0.021448    0.027716  0.00356647
           4    0.037596    0.030186  0.00342498
           5    0.039684   0.0320856  0.00322402
           6    0.019456   0.0299807  0.00330311
           7    0.018648   0.0283617  0.00320351
           8     0.03396   0.0290615  0.00287849
           9    0.023916   0.0284898  0.00261482
          10      0.0215   0.0277908  0.00244498
          11    0.015548   0.0266778  0.00246304
          12    0.020836    0.026191  0.00230539
          13     0.01994   0.0257102  0.00217762
          14    0.031384   0.0261154  0.00205944
          15    0.044788   0.0273603  0.00226737
          16    0.022736   0.0270713    0.002144
          17    0.033616   0.0274562  0.00205216
          18     0.03408   0.0278242  0.00197086
          19     0.03188   0.0280377  0.00187866
          20    0.030212   0.0281464  0.00178787
          21    0.018292   0.0276771  0.00176324
          22    0.024552   0.0275351   0.0016888
          23    0.024672   0.0274106  0.00161996
          24    0.018236   0.0270283  0.00159693
          25    0.036972   0.0274261  0.00158181
          26    0.031228   0.0275723  0.00152771
          27    0.032792   0.0277656  0.00148331
          28    0.031112   0.0278851  0.00143515
          29    0.023736   0.0277421  0.00139277
          30     0.01886    0.027446  0.00137745
