#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.035056    0.035056           0
           2    0.027496    0.031276  0.00267286
           3    0.030552   0.0310347  0.00179277
           4    0.038384    0.032872   0.0020832
           5      0.0238   0.0310576  0.00232617
           6    0.023144   0.0297387  0.00228196
           7     0.02914   0.0296531  0.00195757
           8    0.028096   0.0294585  0.00172252
           9     0.03616   0.0302031   0.0016844
          10    0.038368   0.0310196  0.00170239
          11    0.036152   0.0314862  0.00161029
          12    0.027744   0.0311743    0.001506
          13    0.037876   0.0316898  0.00147575
          14    0.026356   0.0313089  0.00141866
          15    0.022476     0.03072  0.00144112
          16    0.039548   0.0312717  0.00145284
          17    0.028116   0.0310861  0.00137919
          18    0.024316     0.03071  0.00135288
          19    0.019772   0.0301343  0.00139881
          20    0.018276   0.0295414  0.00144909
          21    0.022676   0.0292145  0.00141648
          22      0.0312   0.0293047  0.00135497
          23    0.023036   0.0290322  0.00132319
          24    0.031952   0.0291538  0.00127363
          25     0.02216   0.0288741  0.00125304
          26    0.020596   0.0285557  0.00124464
          27     0.02922   0.0285803  0.00119878
          28    0.033676   0.0287623   0.0011697
          29    0.037788   0.0290735  0.00117004
          30    0.024632   0.0289255  0.00114037
