#   N_BLOCK:  ACCEPTANCE:
           1    0.518118
           2    0.517135
           3    0.516971
           4    0.517493
           5    0.517964
           6    0.517572
           7    0.517437
           8    0.517501
           9    0.517353
          10    0.517419
          11    0.517525
          12    0.517621
          13    0.517471
          14     0.51735
          15    0.517311
          16    0.517362
          17    0.517432
          18    0.517471
          19    0.517475
          20    0.517517
          21    0.517366
          22    0.517541
          23    0.517473
          24    0.517365
          25    0.517347
          26    0.517318
          27    0.517331
          28    0.517381
          29    0.517441
          30    0.517445
