#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.217586    0.217586           0
           2    0.211945    0.214765  0.00199417
           3    0.218898    0.216143  0.00174146
           4     0.21008    0.214627  0.00185176
           5    0.216588    0.215019  0.00152235
           6    0.212086     0.21453  0.00134486
           7    0.212951    0.214305  0.00117152
           8    0.203074    0.212901  0.00166593
           9    0.215059    0.213141  0.00149799
          10    0.212674    0.213094  0.00134892
          11    0.207158    0.212554  0.00132987
          12    0.207365    0.212122  0.00128745
          13    0.220735    0.212785  0.00134816
          14    0.209955    0.212582  0.00126693
          15    0.210634    0.212452  0.00118911
          16    0.216115    0.212681  0.00113661
          17    0.209248    0.212479  0.00108754
          18    0.214764    0.212606   0.0010345
          19    0.211961    0.212572 0.000980609
          20    0.217421    0.212815 0.000961083
          21    0.214989    0.212918 0.000920876
          22    0.208202    0.212704 0.000903624
          23    0.212882    0.212712 0.000864369
          24     0.21759    0.212915 0.000851921
          25    0.212065    0.212881 0.000818522
          26    0.221112    0.213198  0.00084605
          27    0.211997    0.213153 0.000815883
          28    0.213876    0.213179 0.000787152
          29     0.21403    0.213208 0.000760556
          30    0.207732    0.213026 0.000756797
