#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.481896   -0.481896           0
           2   -0.484376   -0.483136 0.000876812
           3   -0.483152   -0.483141 0.000584558
           4   -0.479536    -0.48224 0.000895272
           5   -0.480352   -0.481862 0.000791854
           6    -0.48376   -0.482179 0.000720273
           7   -0.484832   -0.482558 0.000710145
           8   -0.482856   -0.482595 0.000622355
           9    -0.48484   -0.482844 0.000601119
          10   -0.482488   -0.482809 0.000542063
          11   -0.480064   -0.482559 0.000547211
          12   -0.480656   -0.482401 0.000524092
          13    -0.48556   -0.482644 0.000537177
          14   -0.484832     -0.4828 0.000521052
          15   -0.484072   -0.482885 0.000493167
          16   -0.481504   -0.482799 0.000469835
          17   -0.481632    -0.48273  0.00044718
          18   -0.482528   -0.482719 0.000422477
          19    -0.48164   -0.482662 0.000404038
          20    -0.47968   -0.482513 0.000410424
          21     -0.4858   -0.482669  0.00041967
          22   -0.479664   -0.482533 0.000422243
          23   -0.482304   -0.482523 0.000404001
          24   -0.484872   -0.482621  0.00039885
          25   -0.483432   -0.482653 0.000384214
          26    -0.48156   -0.482611  0.00037173
          27   -0.484088   -0.482666 0.000361964
          28   -0.483008   -0.482678 0.000349243
          29   -0.480672   -0.482609 0.000343982
          30    -0.48216   -0.482594 0.000332841
