#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.927528   -0.927528           0
           2   -0.940312    -0.93392  0.00451983
           3   -0.941472   -0.936437  0.00364748
           4   -0.928496   -0.934452  0.00323106
           5   -0.929104   -0.933382   0.0027562
           6    -0.93212   -0.933172  0.00230485
           7   -0.928688   -0.932531  0.00206268
           8   -0.932376   -0.932512  0.00180494
           9   -0.928976   -0.932119   0.0016466
          10   -0.923256   -0.931233  0.00170386
          11    -0.92704   -0.930852  0.00159102
          12   -0.946832   -0.932183  0.00193718
          13    -0.94152   -0.932902  0.00191669
          14   -0.933768   -0.932963  0.00178078
          15   -0.927272   -0.932584    0.001702
          16   -0.927568   -0.932271  0.00162424
          17   -0.936208   -0.932502  0.00154513
          18    -0.93676   -0.932739  0.00147728
          19   -0.942744   -0.933265  0.00149043
          20   -0.936992   -0.933452  0.00142751
          21   -0.934736   -0.933513  0.00136085
          22   -0.929808   -0.933344  0.00130937
          23   -0.936256   -0.933471  0.00125854
          24   -0.931712   -0.933398  0.00120824
          25   -0.946368   -0.933916  0.00126641
          26   -0.945136   -0.934348  0.00128912
          27   -0.928016   -0.934113  0.00126253
          28   -0.930192   -0.933973  0.00122518
          29   -0.944288   -0.934329  0.00123348
          30   -0.934696   -0.934341  0.00119243
