#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.504574    0.504574           0
           2    0.398609    0.451591   0.0374642
           3    0.417566    0.440249   0.0266377
           4    0.450241    0.442747    0.020095
           5    0.388666    0.431931   0.0187625
           6    0.385376    0.424172    0.017165
           7    0.335116     0.41145   0.0188468
           8    0.394638    0.409348   0.0166077
           9    0.430765    0.411728   0.0149319
          10    0.445905    0.415146   0.0138243
          11    0.414983    0.415131   0.0125676
          12    0.401517    0.413996   0.0115714
          13    0.400746    0.412977    0.010726
          14    0.417139    0.413274  0.00996402
          15    0.365366    0.410081  0.00979827
          16     0.40129    0.409531  0.00920127
          17    0.440847    0.411373   0.0088425
          18    0.422764    0.412006  0.00837386
          19    0.381221    0.410386  0.00808837
          20    0.395454    0.409639  0.00771833
          21    0.402196    0.409285  0.00735892
          22    0.412239    0.409419  0.00702565
          23    0.432631    0.410428  0.00679229
          24    0.396415    0.409844  0.00653432
          25     0.40939    0.409826  0.00627298
          26    0.432959    0.410716  0.00609447
          27    0.455964    0.412392  0.00609482
          28    0.415084    0.412488   0.0058779
          29    0.427046     0.41299  0.00569661
          30    0.391959    0.412289  0.00554969
